Date, Signal(dBm), Channel, Security, PHY Mode
2020-09-22 14:19:53 +08:00, start
2020-09-22 14:19:53 +08:00, -67, 149, WPA2 Personal, ac
2020-09-22 14:19:58 +08:00, -64, 149, WPA2 Personal, ac
2020-09-22 14:20:03 +08:00, -66, 149, WPA2 Personal, ac
2020-09-22 14:20:09 +08:00, -64, 149, WPA2 Personal, ac
2020-09-22 14:20:13 +08:00, -66, 149, WPA2 Personal, ac
2020-09-22 14:20:13 +08:00, pause
2020-09-22 14:21:13 +08:00, resume
2020-09-22 14:21:13 +08:00, -68, 149, WPA2 Personal, ac
2020-09-22 14:21:19 +08:00, -64, 149, WPA2 Personal, ac
2020-09-22 14:21:24 +08:00, -64, 149, WPA2 Personal, ac
2020-09-22 14:21:30 +08:00, -61, 149, WPA2 Personal, ac
2020-09-22 14:21:34 +08:00, -62, 149, WPA2 Personal, ac
2020-09-22 14:21:39 +08:00, -63, 149, WPA2 Personal, ac
2020-09-22 14:21:44 +08:00, -63, 149, WPA2 Personal, ac
2020-09-22 14:21:49 +08:00, -62, 149, WPA2 Personal, ac
2020-09-22 14:21:55 +08:00, -63, 149, WPA2 Personal, ac
2020-09-22 14:21:59 +08:00, -63, 149, WPA2 Personal, ac
2020-09-22 14:22:04 +08:00, -63, 149, WPA2 Personal, ac
2020-09-22 14:22:09 +08:00, -63, 149, WPA2 Personal, ac
2020-09-22 14:22:14 +08:00, -64, 149, WPA2 Personal, ac
2020-09-22 14:22:20 +08:00, -62, 149, WPA2 Personal, ac
2020-09-22 14:22:24 +08:00, -64, 149, WPA2 Personal, ac
2020-09-22 14:22:24 +08:00, pause
2020-09-22 14:23:28 +08:00, resume
2020-09-22 14:23:28 +08:00, -64, 149, WPA2 Personal, ac
2020-09-22 14:23:33 +08:00, -, -, -, -
2020-09-22 14:23:39 +08:00, -, -, -, -
2020-09-22 14:23:43 +08:00, -, -, -, -
2020-09-22 14:23:48 +08:00, -, -, -, -
2020-09-22 14:23:53 +08:00, -, -, -, -
2020-09-22 14:23:58 +08:00, -, -, -, -
2020-09-22 14:24:04 +08:00, -, -, -, -
2020-09-22 14:24:08 +08:00, -, -, -, -
2020-09-22 14:24:13 +08:00, -, -, -, -
2020-09-22 14:24:18 +08:00, -, -, -, -
2020-09-22 14:24:23 +08:00, -, -, -, -
2020-09-22 14:24:29 +08:00, -, -, -, -
2020-09-22 14:24:33 +08:00, -, -, -, -
2020-09-22 14:24:33 +08:00, pause
2020-09-22 14:24:48 +08:00, resume
2020-09-22 14:24:48 +08:00, -, -, -, -
2020-09-22 14:24:53 +08:00, -, -, -, -
2020-09-22 14:24:58 +08:00, -86, 149, WPA2 Personal, ac
2020-09-22 14:25:04 +08:00, -86, 149, WPA2 Personal, ac
2020-09-22 14:25:08 +08:00, -86, 149, WPA2 Personal, ac
2020-09-22 14:25:13 +08:00, -, -, -, -
2020-09-22 14:25:18 +08:00, -, -, -, -
2020-09-22 14:25:23 +08:00, -, -, -, -
2020-09-22 14:25:29 +08:00, -, -, -, -
2020-09-22 14:25:33 +08:00, -, -, -, -
2020-09-22 14:25:38 +08:00, -, -, -, -
2020-09-22 14:25:43 +08:00, -, -, -, -
2020-09-22 14:25:48 +08:00, -, -, -, -
2020-09-22 14:25:48 +08:00, pause
2020-09-22 14:26:46 +08:00, resume
2020-09-22 14:26:46 +08:00, -, -, -, -
2020-09-22 14:26:50 +08:00, -93, 149, WPA2 Personal, ac
2020-09-22 14:26:55 +08:00, -93, 149, WPA2 Personal, ac
2020-09-22 14:27:00 +08:00, -, -, -, -
2020-09-22 14:27:06 +08:00, -, -, -, -
2020-09-22 14:27:10 +08:00, -, -, -, -
2020-09-22 14:27:15 +08:00, -, -, -, -
2020-09-22 14:27:20 +08:00, -, -, -, -
2020-09-22 14:27:25 +08:00, -, -, -, -
2020-09-22 14:27:31 +08:00, -, -, -, -
2020-09-22 14:27:35 +08:00, -, -, -, -
2020-09-22 14:27:40 +08:00, -, -, -, -
2020-09-22 14:27:45 +08:00, -, -, -, -
2020-09-22 14:27:50 +08:00, -, -, -, -
2020-09-22 14:27:57 +08:00, -95, 149, WPA2 Personal, ac
2020-09-22 14:27:57 +08:00, pause
2020-09-22 14:28:13 +08:00, resume
2020-09-22 14:28:13 +08:00, -95, 149, WPA2 Personal, ac
2020-09-22 14:28:18 +08:00, -95, 149, WPA2 Personal, ac
2020-09-22 14:28:23 +08:00, -, -, -, -
2020-09-22 14:28:28 +08:00, -, -, -, -
2020-09-22 14:28:35 +08:00, -, -, -, -
2020-09-22 14:28:38 +08:00, -, -, -, -
2020-09-22 14:28:43 +08:00, -, -, -, -
2020-09-22 14:28:48 +08:00, -, -, -, -
2020-09-22 14:28:53 +08:00, -, -, -, -
2020-09-22 14:29:00 +08:00, -, -, -, -
2020-09-22 14:29:03 +08:00, -, -, -, -
2020-09-22 14:29:08 +08:00, -, -, -, -
2020-09-22 14:29:13 +08:00, -, -, -, -
2020-09-22 14:29:18 +08:00, -, -, -, -
2020-09-22 14:29:18 +08:00, pause
2020-09-22 14:29:48 +08:00, resume
2020-09-22 14:29:48 +08:00, -93, 149, WPA2 Personal, ac
2020-09-22 14:29:51 +08:00, -93, 149, WPA2 Personal, ac
2020-09-22 14:29:56 +08:00, -93, 149, WPA2 Personal, ac
2020-09-22 14:30:01 +08:00, -, -, -, -
2020-09-22 14:30:06 +08:00, -94, 149, WPA2 Personal, ac
2020-09-22 14:30:13 +08:00, -94, 149, WPA2 Personal, ac
2020-09-22 14:30:16 +08:00, -94, 149, WPA2 Personal, ac
2020-09-22 14:30:21 +08:00, -, -, -, -
2020-09-22 14:30:26 +08:00, -, -, -, -
2020-09-22 14:30:31 +08:00, -, -, -, -
2020-09-22 14:30:38 +08:00, -, -, -, -
2020-09-22 14:30:41 +08:00, -, -, -, -
2020-09-22 14:30:46 +08:00, -, -, -, -
2020-09-22 14:30:51 +08:00, -, -, -, -
2020-09-22 14:30:51 +08:00, pause
2020-09-22 14:31:23 +08:00, resume
2020-09-22 14:31:23 +08:00, -, -, -, -
2020-09-22 14:31:30 +08:00, -, -, -, -
2020-09-22 14:31:33 +08:00, -, -, -, -
2020-09-22 14:31:38 +08:00, -, -, -, -
2020-09-22 14:31:43 +08:00, -, -, -, -
2020-09-22 14:31:48 +08:00, -, -, -, -
2020-09-22 14:31:55 +08:00, -, -, -, -
2020-09-22 14:31:58 +08:00, -90, 149, WPA2 Personal, ac
2020-09-22 14:32:03 +08:00, -90, 149, WPA2 Personal, ac
2020-09-22 14:32:08 +08:00, -90, 149, WPA2 Personal, ac
2020-09-22 14:32:13 +08:00, -, -, -, -
2020-09-22 14:32:20 +08:00, -, -, -, -
2020-09-22 14:32:23 +08:00, -, -, -, -
2020-09-22 14:32:28 +08:00, -, -, -, -
2020-09-22 14:32:33 +08:00, -, -, -, -
2020-09-22 14:32:33 +08:00, pause
2020-09-22 14:32:48 +08:00, resume
2020-09-22 14:32:48 +08:00, -, -, -, -
2020-09-22 14:32:55 +08:00, -, -, -, -
2020-09-22 14:32:58 +08:00, -89, 149, WPA2 Personal, ac
2020-09-22 14:33:03 +08:00, -89, 149, WPA2 Personal, ac
2020-09-22 14:33:08 +08:00, -89, 149, WPA2 Personal, ac
2020-09-22 14:33:13 +08:00, -, -, -, -
2020-09-22 14:33:20 +08:00, -, -, -, -
2020-09-22 14:33:23 +08:00, -, -, -, -
2020-09-22 14:33:28 +08:00, -, -, -, -
2020-09-22 14:33:33 +08:00, -, -, -, -
2020-09-22 14:33:38 +08:00, -, -, -, -
2020-09-22 14:33:45 +08:00, -, -, -, -
2020-09-22 14:33:48 +08:00, -, -, -, -
2020-09-22 14:33:53 +08:00, -, -, -, -
2020-09-22 14:33:53 +08:00, pause
2020-09-22 14:34:35 +08:00, resume
