Date, Signal(dBm), Channel, Security, PHY Mode
2020-09-23 19:32:19 +08:00, start
2020-09-23 19:32:19 +08:00, -69, 149, WPA2 Personal, ac
2020-09-23 19:32:21 +08:00, -73, 149, WPA2 Personal, ac
2020-09-23 19:32:21 +08:00, pause
2020-09-23 19:32:41 +08:00, resume
2020-09-23 19:32:41 +08:00, -72, 149, WPA2 Personal, ac
2020-09-23 19:32:46 +08:00, -75, 149, WPA2 Personal, ac
2020-09-23 19:32:53 +08:00, -75, 149, WPA2 Personal, ac
2020-09-23 19:32:56 +08:00, -72, 149, WPA2 Personal, ac
2020-09-23 19:33:01 +08:00, -75, 149, WPA2 Personal, ac
2020-09-23 19:33:06 +08:00, -70, 149, WPA2 Personal, ac
2020-09-23 19:33:11 +08:00, -73, 149, WPA2 Personal, ac
2020-09-23 19:33:18 +08:00, -75, 149, WPA2 Personal, ac
2020-09-23 19:33:21 +08:00, -70, 149, WPA2 Personal, ac
2020-09-23 19:33:26 +08:00, -74, 149, WPA2 Personal, ac
2020-09-23 19:33:31 +08:00, -70, 149, WPA2 Personal, ac
2020-09-23 19:33:36 +08:00, -76, 149, WPA2 Personal, ac
2020-09-23 19:33:43 +08:00, -72, 149, WPA2 Personal, ac
2020-09-23 19:33:46 +08:00, -75, 149, WPA2 Personal, ac
2020-09-23 19:33:51 +08:00, -71, 149, WPA2 Personal, ac
2020-09-23 19:33:56 +08:00, -74, 149, WPA2 Personal, ac
2020-09-23 19:33:56 +08:00, pause
2020-09-23 19:34:21 +08:00, resume
2020-09-23 19:34:21 +08:00, -70, 149, WPA2 Personal, ac
2020-09-23 19:34:28 +08:00, -74, 149, WPA2 Personal, ac
2020-09-23 19:34:31 +08:00, -74, 149, WPA2 Personal, ac
2020-09-23 19:34:36 +08:00, -77, 149, WPA2 Personal, ac
2020-09-23 19:34:41 +08:00, -77, 149, WPA2 Personal, ac
2020-09-23 19:34:46 +08:00, -82, 149, WPA2 Personal, ac
2020-09-23 19:34:53 +08:00, -74, 149, WPA2 Personal, ac
2020-09-23 19:34:56 +08:00, -73, 149, WPA2 Personal, ac
2020-09-23 19:35:01 +08:00, -73, 149, WPA2 Personal, ac
2020-09-23 19:35:06 +08:00, -80, 149, WPA2 Personal, ac
2020-09-23 19:35:11 +08:00, -72, 149, WPA2 Personal, ac
2020-09-23 19:35:18 +08:00, -77, 149, WPA2 Personal, ac
2020-09-23 19:35:21 +08:00, -72, 149, WPA2 Personal, ac
2020-09-23 19:35:26 +08:00, -78, 149, WPA2 Personal, ac
2020-09-23 19:35:31 +08:00, -70, 149, WPA2 Personal, ac
2020-09-23 19:35:36 +08:00, -78, 149, WPA2 Personal, ac
2020-09-23 19:35:43 +08:00, -71, 149, WPA2 Personal, ac
2020-09-23 19:35:43 +08:00, pause
2020-09-23 19:36:11 +08:00, resume
2020-09-23 19:36:11 +08:00, -76, 149, WPA2 Personal, ac
2020-09-23 19:36:16 +08:00, -71, 149, WPA2 Personal, ac
2020-09-23 19:36:21 +08:00, -78, 149, WPA2 Personal, ac
2020-09-23 19:36:26 +08:00, -71, 149, WPA2 Personal, ac
2020-09-23 19:36:33 +08:00, -73, 149, WPA2 Personal, ac
2020-09-23 19:36:36 +08:00, -70, 149, WPA2 Personal, ac
2020-09-23 19:36:41 +08:00, -79, 149, WPA2 Personal, ac
2020-09-23 19:36:46 +08:00, -73, 149, WPA2 Personal, ac
2020-09-23 19:36:51 +08:00, -79, 149, WPA2 Personal, ac
2020-09-23 19:36:58 +08:00, -70, 149, WPA2 Personal, ac
2020-09-23 19:37:01 +08:00, -78, 149, WPA2 Personal, ac
2020-09-23 19:37:06 +08:00, -71, 149, WPA2 Personal, ac
2020-09-23 19:37:11 +08:00, -76, 149, WPA2 Personal, ac
2020-09-23 19:37:16 +08:00, -71, 149, WPA2 Personal, ac
2020-09-23 19:37:16 +08:00, pause
2020-09-23 19:37:45 +08:00, resume
2020-09-23 19:37:45 +08:00, -75, 149, WPA2 Personal, ac
2020-09-23 19:37:48 +08:00, -75, 149, WPA2 Personal, ac
2020-09-23 19:37:53 +08:00, -76, 149, WPA2 Personal, ac
2020-09-23 19:37:58 +08:00, -69, 149, WPA2 Personal, ac
2020-09-23 19:38:03 +08:00, -76, 149, WPA2 Personal, ac
2020-09-23 19:38:10 +08:00, -69, 149, WPA2 Personal, ac
2020-09-23 19:38:13 +08:00, -79, 149, WPA2 Personal, ac
2020-09-23 19:38:18 +08:00, -71, 149, WPA2 Personal, ac
2020-09-23 19:38:23 +08:00, -75, 149, WPA2 Personal, ac
2020-09-23 19:38:28 +08:00, -68, 149, WPA2 Personal, ac
2020-09-23 19:38:35 +08:00, -71, 149, WPA2 Personal, ac
2020-09-23 19:38:38 +08:00, -71, 149, WPA2 Personal, ac
2020-09-23 19:38:43 +08:00, -78, 149, WPA2 Personal, ac
2020-09-23 19:38:48 +08:00, -68, 149, WPA2 Personal, ac
2020-09-23 19:38:53 +08:00, -79, 149, WPA2 Personal, ac
2020-09-23 19:39:00 +08:00, -68, 149, WPA2 Personal, ac
2020-09-23 19:39:03 +08:00, -76, 149, WPA2 Personal, ac
2020-09-23 19:39:03 +08:00, pause
2020-09-23 19:39:29 +08:00, resume
2020-09-23 19:39:29 +08:00, -67, 149, WPA2 Personal, ac
2020-09-23 19:39:33 +08:00, -68, 149, WPA2 Personal, ac
2020-09-23 19:39:39 +08:00, -65, 149, WPA2 Personal, ac
2020-09-23 19:39:45 +08:00, -66, 149, WPA2 Personal, ac
2020-09-23 19:39:49 +08:00, -64, 149, WPA2 Personal, ac
2020-09-23 19:39:54 +08:00, -68, 149, WPA2 Personal, ac
2020-09-23 19:39:59 +08:00, -70, 149, WPA2 Personal, ac
2020-09-23 19:40:03 +08:00, -69, 149, WPA2 Personal, ac
2020-09-23 19:40:10 +08:00, -65, 149, WPA2 Personal, ac
2020-09-23 19:40:14 +08:00, -67, 149, WPA2 Personal, ac
2020-09-23 19:40:18 +08:00, -70, 149, WPA2 Personal, ac
2020-09-23 19:40:23 +08:00, -68, 149, WPA2 Personal, ac
2020-09-23 19:40:29 +08:00, -68, 149, WPA2 Personal, ac
2020-09-23 19:40:35 +08:00, -68, 149, WPA2 Personal, ac
2020-09-23 19:40:39 +08:00, -65, 149, WPA2 Personal, ac
2020-09-23 19:40:44 +08:00, -67, 149, WPA2 Personal, ac
2020-09-23 19:40:49 +08:00, -66, 149, WPA2 Personal, ac
2020-09-23 19:40:54 +08:00, -66, 149, WPA2 Personal, ac
2020-09-23 19:40:54 +08:00, pause
2020-09-23 19:41:49 +08:00, resume
2020-09-23 19:41:49 +08:00, -70, 149, WPA2 Personal, ac
2020-09-23 19:41:53 +08:00, -61, 149, WPA2 Personal, ac
2020-09-23 19:41:58 +08:00, -66, 149, WPA2 Personal, ac
2020-09-23 19:42:03 +08:00, -67, 149, WPA2 Personal, ac
2020-09-23 19:42:07 +08:00, -65, 149, WPA2 Personal, ac
2020-09-23 19:42:14 +08:00, -65, 149, WPA2 Personal, ac
2020-09-23 19:42:17 +08:00, -71, 149, WPA2 Personal, ac
2020-09-23 19:42:22 +08:00, -66, 149, WPA2 Personal, ac
2020-09-23 19:42:27 +08:00, -65, 149, WPA2 Personal, ac
2020-09-23 19:42:32 +08:00, -64, 149, WPA2 Personal, ac
2020-09-23 19:42:39 +08:00, -62, 149, WPA2 Personal, ac
2020-09-23 19:42:42 +08:00, -67, 149, WPA2 Personal, ac
2020-09-23 19:42:48 +08:00, -68, 149, WPA2 Personal, ac
2020-09-23 19:42:52 +08:00, -66, 149, WPA2 Personal, ac
2020-09-23 19:42:57 +08:00, -69, 149, WPA2 Personal, ac
2020-09-23 19:43:04 +08:00, -63, 149, WPA2 Personal, ac
2020-09-23 19:43:07 +08:00, -74, 149, WPA2 Personal, ac
2020-09-23 19:43:07 +08:00, pause
2020-09-23 19:44:02 +08:00, resume
2020-09-23 19:44:02 +08:00, -63, 149, WPA2 Personal, ac
2020-09-23 19:44:07 +08:00, -57, 149, WPA2 Personal, ac
2020-09-23 19:44:12 +08:00, -57, 149, WPA2 Personal, ac
2020-09-23 19:44:19 +08:00, -58, 149, WPA2 Personal, ac
2020-09-23 19:44:22 +08:00, -56, 149, WPA2 Personal, ac
2020-09-23 19:44:27 +08:00, -58, 149, WPA2 Personal, ac
2020-09-23 19:44:32 +08:00, -57, 149, WPA2 Personal, ac
2020-09-23 19:44:37 +08:00, -56, 149, WPA2 Personal, ac
2020-09-23 19:44:44 +08:00, -59, 149, WPA2 Personal, ac
2020-09-23 19:44:47 +08:00, -61, 149, WPA2 Personal, ac
2020-09-23 19:44:52 +08:00, -58, 149, WPA2 Personal, ac
2020-09-23 19:44:57 +08:00, -59, 149, WPA2 Personal, ac
2020-09-23 19:45:02 +08:00, -57, 149, WPA2 Personal, ac
2020-09-23 19:45:09 +08:00, -58, 149, WPA2 Personal, ac
2020-09-23 19:45:12 +08:00, -58, 149, WPA2 Personal, ac
2020-09-23 19:45:17 +08:00, -57, 149, WPA2 Personal, ac
2020-09-23 19:45:17 +08:00, pause
2020-09-23 19:45:49 +08:00, resume
2020-09-23 19:45:49 +08:00, -55, 149, WPA2 Personal, ac
2020-09-23 19:45:54 +08:00, -57, 149, WPA2 Personal, ac
2020-09-23 19:46:01 +08:00, -58, 149, WPA2 Personal, ac
2020-09-23 19:46:04 +08:00, -56, 149, WPA2 Personal, ac
2020-09-23 19:46:09 +08:00, -59, 149, WPA2 Personal, ac
2020-09-23 19:46:14 +08:00, -58, 149, WPA2 Personal, ac
2020-09-23 19:46:19 +08:00, -56, 149, WPA2 Personal, ac
2020-09-23 19:46:26 +08:00, -55, 149, WPA2 Personal, ac
2020-09-23 19:46:29 +08:00, -56, 149, WPA2 Personal, ac
2020-09-23 19:46:34 +08:00, -56, 149, WPA2 Personal, ac
2020-09-23 19:46:39 +08:00, -57, 149, WPA2 Personal, ac
2020-09-23 19:46:44 +08:00, -56, 149, WPA2 Personal, ac
2020-09-23 19:46:51 +08:00, -56, 149, WPA2 Personal, ac
2020-09-23 19:46:54 +08:00, -56, 149, WPA2 Personal, ac
2020-09-23 19:46:59 +08:00, -58, 149, WPA2 Personal, ac
2020-09-23 19:47:04 +08:00, -56, 149, WPA2 Personal, ac
2020-09-23 19:47:09 +08:00, -56, 149, WPA2 Personal, ac
2020-09-23 19:47:09 +08:00, pause
2020-09-23 19:47:37 +08:00, resume
2020-09-23 19:47:37 +08:00, -50, 149, WPA2 Personal, ac
2020-09-23 19:47:40 +08:00, -47, 149, WPA2 Personal, ac
2020-09-23 19:47:45 +08:00, -45, 149, WPA2 Personal, ac
2020-09-23 19:47:50 +08:00, -48, 149, WPA2 Personal, ac
2020-09-23 19:47:55 +08:00, -51, 149, WPA2 Personal, ac
2020-09-23 19:48:02 +08:00, -49, 149, WPA2 Personal, ac
2020-09-23 19:48:06 +08:00, -46, 149, WPA2 Personal, ac
2020-09-23 19:48:10 +08:00, -48, 149, WPA2 Personal, ac
2020-09-23 19:48:16 +08:00, -47, 149, WPA2 Personal, ac
2020-09-23 19:48:20 +08:00, -47, 149, WPA2 Personal, ac
2020-09-23 19:48:27 +08:00, -49, 149, WPA2 Personal, ac
2020-09-23 19:48:30 +08:00, -49, 149, WPA2 Personal, ac
2020-09-23 19:48:35 +08:00, -53, 149, WPA2 Personal, ac
2020-09-23 19:48:41 +08:00, -46, 149, WPA2 Personal, ac
2020-09-23 19:48:46 +08:00, -48, 149, WPA2 Personal, ac
2020-09-23 19:48:52 +08:00, -48, 149, WPA2 Personal, ac
2020-09-23 19:48:56 +08:00, -47, 149, WPA2 Personal, ac
2020-09-23 19:48:56 +08:00, pause
2020-09-23 19:49:33 +08:00, resume
2020-09-23 19:49:33 +08:00, -48, 149, WPA2 Personal, ac
2020-09-23 19:49:38 +08:00, -51, 149, WPA2 Personal, ac
2020-09-23 19:49:43 +08:00, -49, 149, WPA2 Personal, ac
2020-09-23 19:49:49 +08:00, -55, 149, WPA2 Personal, ac
2020-09-23 19:49:53 +08:00, -53, 149, WPA2 Personal, ac
2020-09-23 19:49:58 +08:00, -50, 149, WPA2 Personal, ac
2020-09-23 19:50:03 +08:00, -52, 149, WPA2 Personal, ac
2020-09-23 19:50:08 +08:00, -53, 149, WPA2 Personal, ac
2020-09-23 19:50:14 +08:00, -48, 149, WPA2 Personal, ac
2020-09-23 19:50:18 +08:00, -59, 149, WPA2 Personal, ac
2020-09-23 19:50:23 +08:00, -52, 149, WPA2 Personal, ac
2020-09-23 19:50:28 +08:00, -49, 149, WPA2 Personal, ac
2020-09-23 19:50:33 +08:00, -49, 149, WPA2 Personal, ac
2020-09-23 19:50:39 +08:00, -51, 149, WPA2 Personal, ac
2020-09-23 19:50:43 +08:00, -51, 149, WPA2 Personal, ac
2020-09-23 19:50:48 +08:00, -49, 149, WPA2 Personal, ac
2020-09-23 19:50:53 +08:00, -55, 149, WPA2 Personal, ac
2020-09-23 19:50:53 +08:00, pause
2020-09-23 19:51:29 +08:00, resume
2020-09-23 19:51:29 +08:00, -72, 149, WPA2 Personal, ac
2020-09-23 19:51:36 +08:00, -56, 149, WPA2 Personal, ac
2020-09-23 19:51:39 +08:00, -70, 149, WPA2 Personal, ac
2020-09-23 19:51:44 +08:00, -56, 149, WPA2 Personal, ac
2020-09-23 19:51:49 +08:00, -71, 149, WPA2 Personal, ac
2020-09-23 19:51:54 +08:00, -57, 149, WPA2 Personal, ac
2020-09-23 19:52:00 +08:00, -60, 149, WPA2 Personal, ac
2020-09-23 19:52:04 +08:00, -61, 149, WPA2 Personal, ac
2020-09-23 19:52:09 +08:00, -68, 149, WPA2 Personal, ac
2020-09-23 19:52:14 +08:00, -64, 149, WPA2 Personal, ac
2020-09-23 19:52:19 +08:00, -61, 149, WPA2 Personal, ac
2020-09-23 19:52:26 +08:00, -57, 149, WPA2 Personal, ac
2020-09-23 19:52:29 +08:00, -58, 149, WPA2 Personal, ac
2020-09-23 19:52:34 +08:00, -59, 149, WPA2 Personal, ac
2020-09-23 19:52:39 +08:00, -64, 149, WPA2 Personal, ac
2020-09-23 19:52:44 +08:00, -55, 149, WPA2 Personal, ac
2020-09-23 19:52:44 +08:00, pause
2020-09-23 19:53:42 +08:00, resume
2020-09-23 19:53:42 +08:00, -62, 149, WPA2 Personal, ac
2020-09-23 19:53:47 +08:00, -62, 149, WPA2 Personal, ac
2020-09-23 19:53:52 +08:00, -62, 149, WPA2 Personal, ac
2020-09-23 19:53:57 +08:00, -63, 149, WPA2 Personal, ac
2020-09-23 19:54:04 +08:00, -62, 149, WPA2 Personal, ac
2020-09-23 19:54:07 +08:00, -62, 149, WPA2 Personal, ac
2020-09-23 19:54:12 +08:00, -62, 149, WPA2 Personal, ac
2020-09-23 19:54:17 +08:00, -64, 149, WPA2 Personal, ac
2020-09-23 19:54:22 +08:00, -64, 149, WPA2 Personal, ac
2020-09-23 19:54:29 +08:00, -63, 149, WPA2 Personal, ac
2020-09-23 19:54:32 +08:00, -60, 149, WPA2 Personal, ac
2020-09-23 19:54:37 +08:00, -64, 149, WPA2 Personal, ac
2020-09-23 19:54:42 +08:00, -61, 149, WPA2 Personal, ac
2020-09-23 19:54:47 +08:00, -65, 149, WPA2 Personal, ac
2020-09-23 19:54:54 +08:00, -62, 149, WPA2 Personal, ac
2020-09-23 19:54:57 +08:00, -67, 149, WPA2 Personal, ac
2020-09-23 19:55:02 +08:00, -61, 149, WPA2 Personal, ac
2020-09-23 19:55:02 +08:00, pause
2020-09-23 19:55:40 +08:00, resume
2020-09-23 19:55:40 +08:00, -70, 149, WPA2 Personal, ac
2020-09-23 19:55:45 +08:00, -73, 149, WPA2 Personal, ac
2020-09-23 19:55:52 +08:00, -74, 149, WPA2 Personal, ac
2020-09-23 19:55:55 +08:00, -77, 149, WPA2 Personal, ac
2020-09-23 19:56:00 +08:00, -71, 149, WPA2 Personal, ac
2020-09-23 19:56:05 +08:00, -78, 149, WPA2 Personal, ac
2020-09-23 19:56:10 +08:00, -71, 149, WPA2 Personal, ac
2020-09-23 19:56:17 +08:00, -80, 149, WPA2 Personal, ac
2020-09-23 19:56:20 +08:00, -71, 149, WPA2 Personal, ac
2020-09-23 19:56:25 +08:00, -79, 149, WPA2 Personal, ac
2020-09-23 19:56:30 +08:00, -70, 149, WPA2 Personal, ac
2020-09-23 19:56:35 +08:00, -79, 149, WPA2 Personal, ac
2020-09-23 19:56:42 +08:00, -71, 149, WPA2 Personal, ac
2020-09-23 19:56:45 +08:00, -77, 149, WPA2 Personal, ac
2020-09-23 19:56:50 +08:00, -69, 149, WPA2 Personal, ac
2020-09-23 19:56:55 +08:00, -78, 149, WPA2 Personal, ac
2020-09-23 19:57:00 +08:00, -69, 149, WPA2 Personal, ac
2020-09-23 19:57:00 +08:00, pause
2020-09-23 19:57:24 +08:00, resume
2020-09-23 19:57:24 +08:00, -81, 149, WPA2 Personal, ac
2020-09-23 19:57:27 +08:00, -72, 149, WPA2 Personal, ac
2020-09-23 19:57:32 +08:00, -83, 149, WPA2 Personal, ac
