Date, Signal(dBm), Channel, Security, PHY Mode
2020-09-26 14:24:26 +08:00, start
2020-09-26 14:24:26 +08:00, -91, 149, WPA2 Personal, ac
2020-09-26 14:24:30 +08:00, -92, 149, WPA2 Personal, ac
2020-09-26 14:24:30 +08:00, pause
2020-09-26 14:24:48 +08:00, resume
2020-09-26 14:24:48 +08:00, -90, 149, WPA2 Personal, ac
2020-09-26 14:24:51 +08:00, -88, 149, WPA2 Personal, ac
2020-09-26 14:24:56 +08:00, -90, 149, WPA2 Personal, ac
2020-09-26 14:25:01 +08:00, -89, 149, WPA2 Personal, ac
2020-09-26 14:25:06 +08:00, -90, 149, WPA2 Personal, ac
2020-09-26 14:25:13 +08:00, -88, 149, WPA2 Personal, ac
2020-09-26 14:25:16 +08:00, -90, 149, WPA2 Personal, ac
2020-09-26 14:25:21 +08:00, -87, 149, WPA2 Personal, ac
2020-09-26 14:25:26 +08:00, -90, 149, WPA2 Personal, ac
2020-09-26 14:25:31 +08:00, -87, 149, WPA2 Personal, ac
2020-09-26 14:25:38 +08:00, -90, 149, WPA2 Personal, ac
2020-09-26 14:25:41 +08:00, -90, 149, WPA2 Personal, ac
2020-09-26 14:25:46 +08:00, -89, 149, WPA2 Personal, ac
2020-09-26 14:25:51 +08:00, -86, 149, WPA2 Personal, ac
2020-09-26 14:25:51 +08:00, pause
2020-09-26 14:26:02 +08:00, resume
2020-09-26 14:26:02 +08:00, -91, 149, WPA2 Personal, ac
2020-09-26 14:26:09 +08:00, -87, 149, WPA2 Personal, ac
2020-09-26 14:26:12 +08:00, -90, 149, WPA2 Personal, ac
2020-09-26 14:26:17 +08:00, -90, 149, WPA2 Personal, ac
2020-09-26 14:26:22 +08:00, -90, 149, WPA2 Personal, ac
2020-09-26 14:26:27 +08:00, -87, 149, WPA2 Personal, ac
2020-09-26 14:26:34 +08:00, -87, 149, WPA2 Personal, ac
2020-09-26 14:26:37 +08:00, -88, 149, WPA2 Personal, ac
2020-09-26 14:26:42 +08:00, -88, 149, WPA2 Personal, ac
2020-09-26 14:26:47 +08:00, -88, 149, WPA2 Personal, ac
2020-09-26 14:26:54 +08:00, -86, 149, WPA2 Personal, ac
2020-09-26 14:26:57 +08:00, -86, 149, WPA2 Personal, ac
2020-09-26 14:27:02 +08:00, -87, 149, WPA2 Personal, ac
2020-09-26 14:27:07 +08:00, -87, 149, WPA2 Personal, ac
2020-09-26 14:27:07 +08:00, pause
2020-09-26 14:27:22 +08:00, resume
2020-09-26 14:27:22 +08:00, -87, 149, WPA2 Personal, ac
2020-09-26 14:27:29 +08:00, -89, 149, WPA2 Personal, ac
2020-09-26 14:27:32 +08:00, -89, 149, WPA2 Personal, ac
2020-09-26 14:27:37 +08:00, -88, 149, WPA2 Personal, ac
2020-09-26 14:27:42 +08:00, -88, 149, WPA2 Personal, ac
2020-09-26 14:27:47 +08:00, -88, 149, WPA2 Personal, ac
2020-09-26 14:27:54 +08:00, -88, 149, WPA2 Personal, ac
2020-09-26 14:27:57 +08:00, -88, 149, WPA2 Personal, ac
2020-09-26 14:28:02 +08:00, -88, 149, WPA2 Personal, ac
2020-09-26 14:28:07 +08:00, -89, 149, WPA2 Personal, ac
2020-09-26 14:28:12 +08:00, -89, 149, WPA2 Personal, ac
2020-09-26 14:28:19 +08:00, -88, 149, WPA2 Personal, ac
2020-09-26 14:28:22 +08:00, -88, 149, WPA2 Personal, ac
2020-09-26 14:28:27 +08:00, -89, 149, WPA2 Personal, ac
2020-09-26 14:28:32 +08:00, -89, 149, WPA2 Personal, ac
2020-09-26 14:28:32 +08:00, pause
2020-09-26 14:28:43 +08:00, resume
2020-09-26 14:28:43 +08:00, -89, 149, WPA2 Personal, ac
2020-09-26 14:28:50 +08:00, -89, 149, WPA2 Personal, ac
2020-09-26 14:28:53 +08:00, -94, 149, WPA2 Personal, ac
2020-09-26 14:28:58 +08:00, -92, 149, WPA2 Personal, ac
2020-09-26 14:29:03 +08:00, -94, 149, WPA2 Personal, ac
2020-09-26 14:29:08 +08:00, -89, 149, WPA2 Personal, ac
2020-09-26 14:29:15 +08:00, -89, 149, WPA2 Personal, ac
2020-09-26 14:29:18 +08:00, -90, 149, WPA2 Personal, ac
2020-09-26 14:29:23 +08:00, -90, 149, WPA2 Personal, ac
2020-09-26 14:29:28 +08:00, -90, 149, WPA2 Personal, ac
2020-09-26 14:29:33 +08:00, -94, 149, WPA2 Personal, ac
2020-09-26 14:29:40 +08:00, -94, 149, WPA2 Personal, ac
2020-09-26 14:29:43 +08:00, -94, 149, WPA2 Personal, ac
2020-09-26 14:29:48 +08:00, -89, 149, WPA2 Personal, ac
2020-09-26 14:29:48 +08:00, pause
2020-09-26 14:30:16 +08:00, resume
2020-09-26 14:30:16 +08:00, -89, 149, WPA2 Personal, ac
2020-09-26 14:30:21 +08:00, -89, 149, WPA2 Personal, ac
2020-09-26 14:30:28 +08:00, -93, 149, WPA2 Personal, ac
2020-09-26 14:30:31 +08:00, -94, 149, WPA2 Personal, ac
2020-09-26 14:30:36 +08:00, -94, 149, WPA2 Personal, ac
2020-09-26 14:30:41 +08:00, -94, 149, WPA2 Personal, ac
2020-09-26 14:30:46 +08:00, -, -, -, -
2020-09-26 14:30:53 +08:00, -, -, -, -
2020-09-26 14:30:56 +08:00, -, -, -, -
2020-09-26 14:31:01 +08:00, -, -, -, -
2020-09-26 14:31:06 +08:00, -, -, -, -
2020-09-26 14:31:11 +08:00, -, -, -, -
2020-09-26 14:31:18 +08:00, -, -, -, -
2020-09-26 14:31:21 +08:00, -, -, -, -
2020-09-26 14:31:26 +08:00, -, -, -, -
2020-09-26 14:31:26 +08:00, pause
2020-09-26 14:31:37 +08:00, resume
2020-09-26 14:31:37 +08:00, -, -, -, -
2020-09-26 14:31:42 +08:00, -, -, -, -
2020-09-26 14:31:49 +08:00, -, -, -, -
2020-09-26 14:31:52 +08:00, -, -, -, -
2020-09-26 14:31:57 +08:00, -, -, -, -
2020-09-26 14:32:02 +08:00, -, -, -, -
2020-09-26 14:32:07 +08:00, -, -, -, -
2020-09-26 14:32:12 +08:00, -, -, -, -
2020-09-26 14:32:17 +08:00, -, -, -, -
2020-09-26 14:32:22 +08:00, -, -, -, -
2020-09-26 14:32:27 +08:00, -92, 149, WPA2 Personal, ac
2020-09-26 14:32:34 +08:00, -92, 149, WPA2 Personal, ac
2020-09-26 14:32:37 +08:00, -92, 149, WPA2 Personal, ac
2020-09-26 14:32:42 +08:00, -, -, -, -
2020-09-26 14:32:42 +08:00, pause
2020-09-26 14:32:56 +08:00, resume
2020-09-26 14:32:56 +08:00, -, -, -, -
2020-09-26 14:33:01 +08:00, -, -, -, -
2020-09-26 14:33:08 +08:00, -, -, -, -
2020-09-26 14:33:11 +08:00, -, -, -, -
2020-09-26 14:33:16 +08:00, -, -, -, -
