Date, Signal(dBm), Channel, Security, PHY Mode
2020-09-28 14:30:57 +08:00, start
2020-09-28 14:30:57 +08:00, -47, 11-1, WPA2 Personal, n
2020-09-28 14:30:59 +08:00, -54, 11-1, WPA2 Personal, n
2020-09-28 14:31:04 +08:00, -47, 11-1, WPA2 Personal, n
2020-09-28 14:31:09 +08:00, -54, 11-1, WPA2 Personal, n
2020-09-28 14:31:09 +08:00, pause
2020-09-28 14:31:19 +08:00, resume
2020-09-28 14:31:19 +08:00, -54, 11-1, WPA2 Personal, n
2020-09-28 14:31:24 +08:00, -48, 11-1, WPA2 Personal, n
2020-09-28 14:31:29 +08:00, -55, 11-1, WPA2 Personal, n
2020-09-28 14:31:29 +08:00, pause
2020-09-28 14:31:48 +08:00, resume
2020-09-28 14:31:48 +08:00, -48, 11-1, WPA2 Personal, n
2020-09-28 14:31:55 +08:00, -55, 11-1, WPA2 Personal, n
2020-09-28 14:31:58 +08:00, -48, 11-1, WPA2 Personal, n
2020-09-28 14:32:03 +08:00, -53, 11-1, WPA2 Personal, n
2020-09-28 14:32:08 +08:00, -47, 11-1, WPA2 Personal, n
2020-09-28 14:32:13 +08:00, -61, 11-1, WPA2 Personal, n
2020-09-28 14:32:20 +08:00, -47, 11-1, WPA2 Personal, n
2020-09-28 14:32:23 +08:00, -59, 11-1, WPA2 Personal, n
2020-09-28 14:32:28 +08:00, -48, 11-1, WPA2 Personal, n
2020-09-28 14:32:33 +08:00, -53, 11-1, WPA2 Personal, n
2020-09-28 14:32:38 +08:00, -48, 11-1, WPA2 Personal, n
2020-09-28 14:32:45 +08:00, -58, 11-1, WPA2 Personal, n
2020-09-28 14:32:48 +08:00, -46, 11-1, WPA2 Personal, n
2020-09-28 14:32:48 +08:00, pause
2020-09-28 14:33:06 +08:00, resume
2020-09-28 14:33:06 +08:00, -48, 11-1, WPA2 Personal, n
2020-09-28 14:33:11 +08:00, -44, 11-1, WPA2 Personal, n
2020-09-28 14:33:16 +08:00, -49, 11-1, WPA2 Personal, n
2020-09-28 14:33:23 +08:00, -46, 11-1, WPA2 Personal, n
2020-09-28 14:33:26 +08:00, -48, 11-1, WPA2 Personal, n
2020-09-28 14:33:31 +08:00, -47, 11-1, WPA2 Personal, n
2020-09-28 14:33:36 +08:00, -47, 11-1, WPA2 Personal, n
2020-09-28 14:33:41 +08:00, -47, 11-1, WPA2 Personal, n
2020-09-28 14:33:48 +08:00, -48, 11-1, WPA2 Personal, n
2020-09-28 14:33:51 +08:00, -46, 11-1, WPA2 Personal, n
2020-09-28 14:33:56 +08:00, -48, 11-1, WPA2 Personal, n
2020-09-28 14:34:01 +08:00, -47, 11-1, WPA2 Personal, n
2020-09-28 14:34:06 +08:00, -47, 11-1, WPA2 Personal, n
2020-09-28 14:34:13 +08:00, -46, 11-1, WPA2 Personal, n
2020-09-28 14:34:13 +08:00, pause
2020-09-28 14:34:26 +08:00, resume
2020-09-28 14:34:26 +08:00, -60, 11-1, WPA2 Personal, n
2020-09-28 14:34:31 +08:00, -63, 11-1, WPA2 Personal, n
2020-09-28 14:34:36 +08:00, -60, 11-1, WPA2 Personal, n
2020-09-28 14:34:41 +08:00, -56, 11-1, WPA2 Personal, n
2020-09-28 14:34:48 +08:00, -64, 11-1, WPA2 Personal, n
2020-09-28 14:34:51 +08:00, -58, 11-1, WPA2 Personal, n
2020-09-28 14:34:56 +08:00, -60, 11-1, WPA2 Personal, n
2020-09-28 14:35:01 +08:00, -59, 11-1, WPA2 Personal, n
2020-09-28 14:35:06 +08:00, -59, 11-1, WPA2 Personal, n
2020-09-28 14:35:13 +08:00, -62, 11-1, WPA2 Personal, n
2020-09-28 14:35:16 +08:00, -62, 11-1, WPA2 Personal, n
2020-09-28 14:35:21 +08:00, -61, 11-1, WPA2 Personal, n
2020-09-28 14:35:26 +08:00, -58, 11-1, WPA2 Personal, n
2020-09-28 14:35:31 +08:00, -62, 11-1, WPA2 Personal, n
2020-09-28 14:35:31 +08:00, pause
2020-09-28 14:35:44 +08:00, resume
2020-09-28 14:35:44 +08:00, -48, 11-1, WPA2 Personal, n
2020-09-28 14:35:47 +08:00, -44, 11-1, WPA2 Personal, n
