Date, Signal(dBm), Channel, Security, PHY Mode
2020-09-28 19:27:36 +08:00, start
2020-09-28 19:27:36 +08:00, -63, 1+1, WPA2 Personal, n
2020-09-28 19:27:38 +08:00, -71, 1+1, WPA2 Personal, n
2020-09-28 19:27:43 +08:00, -61, 1+1, WPA2 Personal, n
2020-09-28 19:27:48 +08:00, -69, 1+1, WPA2 Personal, n
2020-09-28 19:27:53 +08:00, -61, 1+1, WPA2 Personal, n
2020-09-28 19:28:00 +08:00, -69, 1+1, WPA2 Personal, n
2020-09-28 19:28:03 +08:00, -63, 1+1, WPA2 Personal, n
2020-09-28 19:28:08 +08:00, -66, 1+1, WPA2 Personal, n
2020-09-28 19:28:13 +08:00, -62, 1+1, WPA2 Personal, n
2020-09-28 19:28:18 +08:00, -67, 1+1, WPA2 Personal, n
2020-09-28 19:28:25 +08:00, -61, 1+1, WPA2 Personal, n
2020-09-28 19:28:28 +08:00, -70, 1+1, WPA2 Personal, n
2020-09-28 19:28:33 +08:00, -61, 1+1, WPA2 Personal, n
2020-09-28 19:28:38 +08:00, -68, 1+1, WPA2 Personal, n
2020-09-28 19:28:43 +08:00, -62, 1+1, WPA2 Personal, n
2020-09-28 19:28:50 +08:00, -68, 1+1, WPA2 Personal, n
2020-09-28 19:28:53 +08:00, -61, 1+1, WPA2 Personal, n
2020-09-28 19:28:58 +08:00, -69, 1+1, WPA2 Personal, n
2020-09-28 19:28:58 +08:00, pause
2020-09-28 19:29:18 +08:00, resume
2020-09-28 19:29:18 +08:00, -67, 1+1, WPA2 Personal, n
2020-09-28 19:29:23 +08:00, -68, 1+1, WPA2 Personal, n
2020-09-28 19:29:30 +08:00, -69, 1+1, WPA2 Personal, n
2020-09-28 19:29:33 +08:00, -68, 1+1, WPA2 Personal, n
2020-09-28 19:29:38 +08:00, -69, 1+1, WPA2 Personal, n
2020-09-28 19:29:43 +08:00, -68, 1+1, WPA2 Personal, n
2020-09-28 19:29:48 +08:00, -68, 1+1, WPA2 Personal, n
2020-09-28 19:29:55 +08:00, -68, 1+1, WPA2 Personal, n
2020-09-28 19:29:58 +08:00, -68, 1+1, WPA2 Personal, n
2020-09-28 19:30:03 +08:00, -68, 1+1, WPA2 Personal, n
2020-09-28 19:30:08 +08:00, -69, 1+1, WPA2 Personal, n
2020-09-28 19:30:13 +08:00, -69, 1+1, WPA2 Personal, n
2020-09-28 19:30:20 +08:00, -69, 1+1, WPA2 Personal, n
2020-09-28 19:30:23 +08:00, -68, 1+1, WPA2 Personal, n
2020-09-28 19:30:23 +08:00, pause
2020-09-28 19:31:10 +08:00, resume
2020-09-28 19:31:10 +08:00, -69, 1+1, WPA2 Personal, n
2020-09-28 19:31:15 +08:00, -66, 1+1, WPA2 Personal, n
2020-09-28 19:31:20 +08:00, -67, 1+1, WPA2 Personal, n
