Date, Signal(dBm), Channel, Security, PHY Mode
2020-09-29 14:20:28 +08:00, start
2020-09-29 14:20:28 +08:00, -81, 11-1, WPA2 Personal, n
2020-09-29 14:20:35 +08:00, -75, 11-1, WPA2 Personal, n
2020-09-29 14:20:38 +08:00, -77, 11-1, WPA2 Personal, n
2020-09-29 14:20:43 +08:00, -75, 11-1, WPA2 Personal, n
2020-09-29 14:20:48 +08:00, -77, 11-1, WPA2 Personal, n
2020-09-29 14:20:48 +08:00, pause
2020-09-29 14:21:27 +08:00, resume
2020-09-29 14:21:27 +08:00, -76, 11-1, WPA2 Personal, n
2020-09-29 14:21:34 +08:00, -76, 11-1, WPA2 Personal, n
2020-09-29 14:21:37 +08:00, -76, 11-1, WPA2 Personal, n
2020-09-29 14:21:42 +08:00, -75, 11-1, WPA2 Personal, n
2020-09-29 14:21:47 +08:00, -76, 11-1, WPA2 Personal, n
2020-09-29 14:21:52 +08:00, -77, 11-1, WPA2 Personal, n
2020-09-29 14:21:59 +08:00, -77, 11-1, WPA2 Personal, n
2020-09-29 14:22:02 +08:00, -77, 11-1, WPA2 Personal, n
2020-09-29 14:22:07 +08:00, -76, 11-1, WPA2 Personal, n
2020-09-29 14:22:12 +08:00, -77, 11-1, WPA2 Personal, n
2020-09-29 14:22:17 +08:00, -77, 11-1, WPA2 Personal, n
2020-09-29 14:22:24 +08:00, -76, 11-1, WPA2 Personal, n
2020-09-29 14:22:27 +08:00, -76, 11-1, WPA2 Personal, n
2020-09-29 14:22:32 +08:00, -77, 11-1, WPA2 Personal, n
2020-09-29 14:22:37 +08:00, -76, 11-1, WPA2 Personal, n
2020-09-29 14:22:42 +08:00, -75, 11-1, WPA2 Personal, n
2020-09-29 14:22:42 +08:00, pause
2020-09-29 14:23:02 +08:00, resume
2020-09-29 14:23:02 +08:00, -78, 11-1, WPA2 Personal, n
2020-09-29 14:23:05 +08:00, -76, 11-1, WPA2 Personal, n
2020-09-29 14:23:10 +08:00, -77, 11-1, WPA2 Personal, n
2020-09-29 14:23:15 +08:00, -76, 11-1, WPA2 Personal, n
