Date, Signal(dBm), Channel, Security, PHY Mode
2020-09-30 15:11:54 +08:00, start
2020-09-30 15:11:54 +08:00, -74, 4+1, WPA2 Personal, n
2020-09-30 15:12:00 +08:00, -80, 4+1, WPA2 Personal, n
2020-09-30 15:12:03 +08:00, -73, 4+1, WPA2 Personal, n
2020-09-30 15:12:03 +08:00, pause
2020-09-30 15:12:10 +08:00, resume
2020-09-30 15:12:10 +08:00, -86, 4+1, WPA2 Personal, n
2020-09-30 15:12:10 +08:00, pause
2020-09-30 15:12:21 +08:00, resume
2020-09-30 15:12:21 +08:00, -72, 4+1, WPA2 Personal, n
2020-09-30 15:12:26 +08:00, -72, 4+1, WPA2 Personal, n
2020-09-30 15:12:33 +08:00, -71, 4+1, WPA2 Personal, n
2020-09-30 15:12:36 +08:00, -82, 4+1, WPA2 Personal, n
2020-09-30 15:12:41 +08:00, -71, 4+1, WPA2 Personal, n
2020-09-30 15:12:46 +08:00, -77, 4+1, WPA2 Personal, n
2020-09-30 15:12:51 +08:00, -71, 4+1, WPA2 Personal, n
2020-09-30 15:12:58 +08:00, -78, 4+1, WPA2 Personal, n
2020-09-30 15:13:01 +08:00, -73, 4+1, WPA2 Personal, n
2020-09-30 15:13:06 +08:00, -73, 4+1, WPA2 Personal, n
2020-09-30 15:13:11 +08:00, -72, 4+1, WPA2 Personal, n
2020-09-30 15:13:16 +08:00, -81, 4+1, WPA2 Personal, n
2020-09-30 15:13:23 +08:00, -73, 4+1, WPA2 Personal, n
2020-09-30 15:13:26 +08:00, -85, 4+1, WPA2 Personal, n
2020-09-30 15:13:31 +08:00, -72, 4+1, WPA2 Personal, n
2020-09-30 15:13:31 +08:00, pause
2020-09-30 15:13:49 +08:00, resume
2020-09-30 15:13:49 +08:00, -75, 4+1, WPA2 Personal, n
2020-09-30 15:13:54 +08:00, -75, 4+1, WPA2 Personal, n
2020-09-30 15:14:01 +08:00, -75, 4+1, WPA2 Personal, n
2020-09-30 15:14:04 +08:00, -77, 4+1, WPA2 Personal, n
2020-09-30 15:14:09 +08:00, -79, 4+1, WPA2 Personal, n
2020-09-30 15:14:14 +08:00, -70, 4+1, WPA2 Personal, n
2020-09-30 15:14:19 +08:00, -81, 4+1, WPA2 Personal, n
2020-09-30 15:14:26 +08:00, -72, 4+1, WPA2 Personal, n
2020-09-30 15:14:29 +08:00, -75, 4+1, WPA2 Personal, n
2020-09-30 15:14:34 +08:00, -75, 4+1, WPA2 Personal, n
2020-09-30 15:14:39 +08:00, -77, 4+1, WPA2 Personal, n
2020-09-30 15:14:44 +08:00, -70, 4+1, WPA2 Personal, n
2020-09-30 15:14:51 +08:00, -82, 4+1, WPA2 Personal, n
2020-09-30 15:14:54 +08:00, -82, 4+1, WPA2 Personal, n
2020-09-30 15:14:59 +08:00, -80, 4+1, WPA2 Personal, n
2020-09-30 15:14:59 +08:00, pause
2020-09-30 15:15:12 +08:00, resume
2020-09-30 15:15:12 +08:00, -83, 4+1, WPA2 Personal, n
2020-09-30 15:15:17 +08:00, -84, 4+1, WPA2 Personal, n
2020-09-30 15:15:24 +08:00, -84, 4+1, WPA2 Personal, n
2020-09-30 15:15:27 +08:00, -84, 4+1, WPA2 Personal, n
2020-09-30 15:15:32 +08:00, -85, 4+1, WPA2 Personal, n
2020-09-30 15:15:37 +08:00, -88, 4+1, WPA2 Personal, n
2020-09-30 15:15:42 +08:00, -88, 4+1, WPA2 Personal, n
2020-09-30 15:15:49 +08:00, -88, 4+1, WPA2 Personal, n
2020-09-30 15:15:52 +08:00, -80, 4+1, WPA2 Personal, n
2020-09-30 15:15:57 +08:00, -80, 4+1, WPA2 Personal, n
2020-09-30 15:16:02 +08:00, -85, 4+1, WPA2 Personal, n
2020-09-30 15:16:07 +08:00, -85, 4+1, WPA2 Personal, n
2020-09-30 15:16:14 +08:00, -85, 4+1, WPA2 Personal, n
2020-09-30 15:16:17 +08:00, -, -, -, -
2020-09-30 15:16:22 +08:00, -, -, -, -
2020-09-30 15:16:22 +08:00, pause
2020-09-30 15:16:33 +08:00, resume
2020-09-30 15:16:33 +08:00, -86, 4+1, WPA2 Personal, n
2020-09-30 15:16:38 +08:00, -84, 4+1, WPA2 Personal, n
2020-09-30 15:16:45 +08:00, -90, 4+1, WPA2 Personal, n
2020-09-30 15:16:48 +08:00, -85, 4+1, WPA2 Personal, n
2020-09-30 15:16:53 +08:00, -90, 4+1, WPA2 Personal, n
2020-09-30 15:16:58 +08:00, -90, 4+1, WPA2 Personal, n
2020-09-30 15:17:03 +08:00, -89, 4+1, WPA2 Personal, n
2020-09-30 15:17:10 +08:00, -89, 4+1, WPA2 Personal, n
2020-09-30 15:17:13 +08:00, -89, 4+1, WPA2 Personal, n
2020-09-30 15:17:18 +08:00, -, -, -, -
2020-09-30 15:17:23 +08:00, -89, 4+1, WPA2 Personal, n
2020-09-30 15:17:28 +08:00, -89, 4+1, WPA2 Personal, n
2020-09-30 15:17:35 +08:00, -90, 4+1, WPA2 Personal, n
2020-09-30 15:17:38 +08:00, -90, 4+1, WPA2 Personal, n
2020-09-30 15:17:43 +08:00, -90, 4+1, WPA2 Personal, n
2020-09-30 15:17:43 +08:00, pause
2020-09-30 15:17:55 +08:00, resume
2020-09-30 15:17:55 +08:00, -85, 4+1, WPA2 Personal, n
2020-09-30 15:18:00 +08:00, -85, 4+1, WPA2 Personal, n
2020-09-30 15:18:07 +08:00, -85, 4+1, WPA2 Personal, n
