Date, Signal(dBm), Channel, Security, PHY Mode
2020-10-01 14:18:36 +08:00, start
2020-10-01 14:18:36 +08:00, -57, 11-1, WPA2 Personal, n
2020-10-01 14:18:36 +08:00, pause
2020-10-01 14:19:03 +08:00, resume
2020-10-01 14:19:03 +08:00, -61, 11-1, WPA2 Personal, n
2020-10-01 14:19:06 +08:00, -60, 11-1, WPA2 Personal, n
2020-10-01 14:19:11 +08:00, -59, 11-1, WPA2 Personal, n
2020-10-01 14:19:16 +08:00, -61, 11-1, WPA2 Personal, n
2020-10-01 14:19:21 +08:00, -60, 11-1, WPA2 Personal, n
2020-10-01 14:19:28 +08:00, -59, 11-1, WPA2 Personal, n
2020-10-01 14:19:31 +08:00, -60, 11-1, WPA2 Personal, n
2020-10-01 14:19:36 +08:00, -61, 11-1, WPA2 Personal, n
2020-10-01 14:19:41 +08:00, -60, 11-1, WPA2 Personal, n
2020-10-01 14:19:46 +08:00, -59, 11-1, WPA2 Personal, n
2020-10-01 14:19:53 +08:00, -59, 11-1, WPA2 Personal, n
2020-10-01 14:19:56 +08:00, -59, 11-1, WPA2 Personal, n
2020-10-01 14:19:56 +08:00, pause
2020-10-01 14:20:18 +08:00, resume
2020-10-01 14:20:18 +08:00, -48, 11-1, WPA2 Personal, n
2020-10-01 14:20:23 +08:00, -52, 11-1, WPA2 Personal, n
2020-10-01 14:20:28 +08:00, -50, 11-1, WPA2 Personal, n
2020-10-01 14:20:35 +08:00, -52, 11-1, WPA2 Personal, n
2020-10-01 14:20:38 +08:00, -50, 11-1, WPA2 Personal, n
2020-10-01 14:20:43 +08:00, -51, 11-1, WPA2 Personal, n
2020-10-01 14:20:48 +08:00, -48, 11-1, WPA2 Personal, n
2020-10-01 14:20:53 +08:00, -52, 11-1, WPA2 Personal, n
2020-10-01 14:21:00 +08:00, -48, 11-1, WPA2 Personal, n
2020-10-01 14:21:03 +08:00, -52, 11-1, WPA2 Personal, n
2020-10-01 14:21:08 +08:00, -51, 11-1, WPA2 Personal, n
2020-10-01 14:21:13 +08:00, -51, 11-1, WPA2 Personal, n
2020-10-01 14:21:13 +08:00, pause
2020-10-01 14:21:39 +08:00, resume
2020-10-01 14:21:39 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-01 14:21:42 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-01 14:21:47 +08:00, -48, 11-1, WPA2 Personal, n
2020-10-01 14:21:52 +08:00, -45, 11-1, WPA2 Personal, n
2020-10-01 14:21:57 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-01 14:22:04 +08:00, -48, 11-1, WPA2 Personal, n
2020-10-01 14:22:07 +08:00, -48, 11-1, WPA2 Personal, n
2020-10-01 14:22:12 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-01 14:22:17 +08:00, -48, 11-1, WPA2 Personal, n
2020-10-01 14:22:22 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-01 14:22:29 +08:00, -48, 11-1, WPA2 Personal, n
2020-10-01 14:22:32 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-01 14:22:37 +08:00, -48, 11-1, WPA2 Personal, n
2020-10-01 14:22:37 +08:00, pause
2020-10-01 14:22:50 +08:00, resume
2020-10-01 14:22:50 +08:00, -51, 11-1, WPA2 Personal, n
2020-10-01 14:22:55 +08:00, -52, 11-1, WPA2 Personal, n
2020-10-01 14:23:02 +08:00, -49, 11-1, WPA2 Personal, n
2020-10-01 14:23:05 +08:00, -52, 11-1, WPA2 Personal, n
2020-10-01 14:23:10 +08:00, -50, 11-1, WPA2 Personal, n
2020-10-01 14:23:15 +08:00, -53, 11-1, WPA2 Personal, n
2020-10-01 14:23:20 +08:00, -51, 11-1, WPA2 Personal, n
2020-10-01 14:23:27 +08:00, -53, 11-1, WPA2 Personal, n
2020-10-01 14:23:30 +08:00, -51, 11-1, WPA2 Personal, n
2020-10-01 14:23:35 +08:00, -52, 11-1, WPA2 Personal, n
2020-10-01 14:23:40 +08:00, -53, 11-1, WPA2 Personal, n
2020-10-01 14:23:45 +08:00, -52, 11-1, WPA2 Personal, n
2020-10-01 14:23:45 +08:00, pause
2020-10-01 14:24:03 +08:00, resume
2020-10-01 14:24:03 +08:00, -51, 11-1, WPA2 Personal, n
2020-10-01 14:24:08 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-01 14:24:13 +08:00, -52, 11-1, WPA2 Personal, n
2020-10-01 14:24:18 +08:00, -45, 11-1, WPA2 Personal, n
2020-10-01 14:24:25 +08:00, -50, 11-1, WPA2 Personal, n
2020-10-01 14:24:28 +08:00, -45, 11-1, WPA2 Personal, n
2020-10-01 14:24:33 +08:00, -51, 11-1, WPA2 Personal, n
2020-10-01 14:24:38 +08:00, -45, 11-1, WPA2 Personal, n
2020-10-01 14:24:43 +08:00, -51, 11-1, WPA2 Personal, n
2020-10-01 14:24:50 +08:00, -45, 11-1, WPA2 Personal, n
2020-10-01 14:24:53 +08:00, -52, 11-1, WPA2 Personal, n
2020-10-01 14:24:58 +08:00, -45, 11-1, WPA2 Personal, n
2020-10-01 14:24:58 +08:00, pause
2020-10-01 14:25:16 +08:00, resume
2020-10-01 14:25:16 +08:00, -46, 11-1, WPA2 Personal, n
2020-10-01 14:25:23 +08:00, -51, 11-1, WPA2 Personal, n
2020-10-01 14:25:26 +08:00, -45, 11-1, WPA2 Personal, n
2020-10-01 14:25:31 +08:00, -50, 11-1, WPA2 Personal, n
2020-10-01 14:25:36 +08:00, -46, 11-1, WPA2 Personal, n
2020-10-01 14:25:41 +08:00, -49, 11-1, WPA2 Personal, n
2020-10-01 14:25:48 +08:00, -46, 11-1, WPA2 Personal, n
2020-10-01 14:25:51 +08:00, -49, 11-1, WPA2 Personal, n
2020-10-01 14:25:56 +08:00, -47, 11-1, WPA2 Personal, n
2020-10-01 14:26:01 +08:00, -49, 11-1, WPA2 Personal, n
2020-10-01 14:26:06 +08:00, -46, 11-1, WPA2 Personal, n
2020-10-01 14:26:13 +08:00, -50, 11-1, WPA2 Personal, n
2020-10-01 14:26:13 +08:00, pause
2020-10-01 14:26:32 +08:00, resume
