Date, Signal(dBm), Channel, Security, PHY Mode
2020-10-05 18:55:10 +08:00, start
2020-10-05 18:55:10 +08:00, -45, 2+1, WPA2 Personal, n
2020-10-05 18:55:14 +08:00, -52, 2+1, WPA2 Personal, n
2020-10-05 18:55:14 +08:00, pause
2020-10-05 18:58:50 +08:00, resume
2020-10-05 18:58:50 +08:00, -50, 2, WPA2 Personal, n
2020-10-05 18:58:55 +08:00, -48, 2, WPA2 Personal, n
2020-10-05 18:59:02 +08:00, -49, 2, WPA2 Personal, n
2020-10-05 18:59:05 +08:00, -47, 2, WPA2 Personal, n
2020-10-05 18:59:10 +08:00, -48, 2, WPA2 Personal, n
2020-10-05 18:59:15 +08:00, -47, 2, WPA2 Personal, n
2020-10-05 18:59:20 +08:00, -48, 2, WPA2 Personal, n
2020-10-05 18:59:27 +08:00, -48, 2, WPA2 Personal, n
2020-10-05 18:59:30 +08:00, -49, 2, WPA2 Personal, n
2020-10-05 18:59:35 +08:00, -48, 2, WPA2 Personal, n
2020-10-05 18:59:40 +08:00, -40, 2, WPA2 Personal, n
2020-10-05 18:59:45 +08:00, -46, 2, WPA2 Personal, n
2020-10-05 18:59:52 +08:00, -40, 2, WPA2 Personal, n
2020-10-05 18:59:55 +08:00, -47, 2, WPA2 Personal, n
2020-10-05 19:00:00 +08:00, -49, 2, WPA2 Personal, n
2020-10-05 19:00:05 +08:00, -47, 2, WPA2 Personal, n
2020-10-05 19:00:10 +08:00, -35, 2, WPA2 Personal, n
2020-10-05 19:00:10 +08:00, pause
2020-10-05 19:00:39 +08:00, resume
2020-10-05 19:00:39 +08:00, -39, 2, WPA2 Personal, n
2020-10-05 19:00:42 +08:00, -45, 2, WPA2 Personal, n
2020-10-05 19:00:47 +08:00, -40, 2, WPA2 Personal, n
2020-10-05 19:00:52 +08:00, -40, 2, WPA2 Personal, n
2020-10-05 19:00:57 +08:00, -41, 2, WPA2 Personal, n
2020-10-05 19:01:04 +08:00, -40, 2, WPA2 Personal, n
2020-10-05 19:01:07 +08:00, -40, 2, WPA2 Personal, n
2020-10-05 19:01:12 +08:00, -44, 2, WPA2 Personal, n
2020-10-05 19:01:17 +08:00, -44, 2, WPA2 Personal, n
2020-10-05 19:01:22 +08:00, -37, 2, WPA2 Personal, n
2020-10-05 19:01:29 +08:00, -45, 2, WPA2 Personal, n
2020-10-05 19:01:32 +08:00, -38, 2, WPA2 Personal, n
2020-10-05 19:01:37 +08:00, -40, 2, WPA2 Personal, n
2020-10-05 19:01:42 +08:00, -42, 2, WPA2 Personal, n
2020-10-05 19:01:47 +08:00, -44, 2, WPA2 Personal, n
2020-10-05 19:01:54 +08:00, -44, 2, WPA2 Personal, n
2020-10-05 19:01:54 +08:00, pause
2020-10-05 19:02:09 +08:00, resume
2020-10-05 19:02:09 +08:00, -56, 2, WPA2 Personal, n
2020-10-05 19:02:14 +08:00, -52, 2, WPA2 Personal, n
2020-10-05 19:02:19 +08:00, -55, 2, WPA2 Personal, n
2020-10-05 19:02:24 +08:00, -53, 2, WPA2 Personal, n
2020-10-05 19:02:31 +08:00, -68, 2, WPA2 Personal, n
2020-10-05 19:02:34 +08:00, -52, 2, WPA2 Personal, n
