Date, Signal(dBm), Channel, Security, PHY Mode
2020-10-06 14:10:26 +08:00, start
2020-10-06 14:10:26 +08:00, -58, 153, WPA2 Personal, ac
2020-10-06 14:10:31 +08:00, -64, 153, WPA2 Personal, ac
2020-10-06 14:10:38 +08:00, -59, 153, WPA2 Personal, ac
2020-10-06 14:10:41 +08:00, -59, 153, WPA2 Personal, ac
2020-10-06 14:10:46 +08:00, -60, 153, WPA2 Personal, ac
2020-10-06 14:10:51 +08:00, -63, 153, WPA2 Personal, ac
2020-10-06 14:10:56 +08:00, -60, 153, WPA2 Personal, ac
2020-10-06 14:11:03 +08:00, -65, 153, WPA2 Personal, ac
2020-10-06 14:11:06 +08:00, -59, 153, WPA2 Personal, ac
2020-10-06 14:11:11 +08:00, -66, 153, WPA2 Personal, ac
2020-10-06 14:11:16 +08:00, -61, 153, WPA2 Personal, ac
2020-10-06 14:11:21 +08:00, -65, 153, WPA2 Personal, ac
2020-10-06 14:11:28 +08:00, -60, 153, WPA2 Personal, ac
2020-10-06 14:11:31 +08:00, -64, 153, WPA2 Personal, ac
2020-10-06 14:11:36 +08:00, -62, 153, WPA2 Personal, ac
2020-10-06 14:11:36 +08:00, pause
2020-10-06 14:11:56 +08:00, resume
2020-10-06 14:11:56 +08:00, -61, 153, WPA2 Personal, ac
2020-10-06 14:12:01 +08:00, -66, 153, WPA2 Personal, ac
2020-10-06 14:12:08 +08:00, -63, 153, WPA2 Personal, ac
2020-10-06 14:12:11 +08:00, -72, 153, WPA2 Personal, ac
2020-10-06 14:12:16 +08:00, -62, 153, WPA2 Personal, ac
2020-10-06 14:12:21 +08:00, -66, 153, WPA2 Personal, ac
2020-10-06 14:12:26 +08:00, -65, 153, WPA2 Personal, ac
2020-10-06 14:12:33 +08:00, -66, 153, WPA2 Personal, ac
2020-10-06 14:12:36 +08:00, -62, 153, WPA2 Personal, ac
2020-10-06 14:12:41 +08:00, -65, 153, WPA2 Personal, ac
2020-10-06 14:12:46 +08:00, -63, 153, WPA2 Personal, ac
2020-10-06 14:12:51 +08:00, -68, 153, WPA2 Personal, ac
2020-10-06 14:12:58 +08:00, -63, 153, WPA2 Personal, ac
2020-10-06 14:13:01 +08:00, -70, 153, WPA2 Personal, ac
2020-10-06 14:13:06 +08:00, -68, 153, WPA2 Personal, ac
2020-10-06 14:13:06 +08:00, pause
2020-10-06 14:13:21 +08:00, resume
2020-10-06 14:13:21 +08:00, -73, 153, WPA2 Personal, ac
2020-10-06 14:13:26 +08:00, -74, 153, WPA2 Personal, ac
2020-10-06 14:13:33 +08:00, -70, 153, WPA2 Personal, ac
2020-10-06 14:13:36 +08:00, -73, 153, WPA2 Personal, ac
2020-10-06 14:13:41 +08:00, -70, 153, WPA2 Personal, ac
2020-10-06 14:13:46 +08:00, -74, 153, WPA2 Personal, ac
2020-10-06 14:13:51 +08:00, -71, 153, WPA2 Personal, ac
2020-10-06 14:13:58 +08:00, -77, 153, WPA2 Personal, ac
2020-10-06 14:14:01 +08:00, -72, 153, WPA2 Personal, ac
2020-10-06 14:14:06 +08:00, -77, 153, WPA2 Personal, ac
2020-10-06 14:14:11 +08:00, -71, 153, WPA2 Personal, ac
2020-10-06 14:14:16 +08:00, -76, 153, WPA2 Personal, ac
2020-10-06 14:14:23 +08:00, -76, 153, WPA2 Personal, ac
2020-10-06 14:14:26 +08:00, -76, 153, WPA2 Personal, ac
2020-10-06 14:14:31 +08:00, -73, 153, WPA2 Personal, ac
2020-10-06 14:14:36 +08:00, -75, 153, WPA2 Personal, ac
2020-10-06 14:14:41 +08:00, -75, 153, WPA2 Personal, ac
2020-10-06 14:14:41 +08:00, pause
2020-10-06 14:14:58 +08:00, resume
2020-10-06 14:14:58 +08:00, -82, 153, WPA2 Personal, ac
2020-10-06 14:15:01 +08:00, -75, 153, WPA2 Personal, ac
2020-10-06 14:15:06 +08:00, -78, 153, WPA2 Personal, ac
2020-10-06 14:15:11 +08:00, -71, 153, WPA2 Personal, ac
2020-10-06 14:15:16 +08:00, -77, 153, WPA2 Personal, ac
2020-10-06 14:15:23 +08:00, -73, 153, WPA2 Personal, ac
2020-10-06 14:15:26 +08:00, -78, 153, WPA2 Personal, ac
2020-10-06 14:15:31 +08:00, -73, 153, WPA2 Personal, ac
2020-10-06 14:15:36 +08:00, -78, 153, WPA2 Personal, ac
2020-10-06 14:15:41 +08:00, -77, 153, WPA2 Personal, ac
2020-10-06 14:15:48 +08:00, -79, 153, WPA2 Personal, ac
2020-10-06 14:15:51 +08:00, -75, 153, WPA2 Personal, ac
2020-10-06 14:15:56 +08:00, -79, 153, WPA2 Personal, ac
2020-10-06 14:16:01 +08:00, -76, 153, WPA2 Personal, ac
2020-10-06 14:16:06 +08:00, -78, 153, WPA2 Personal, ac
2020-10-06 14:16:06 +08:00, pause
2020-10-06 14:16:26 +08:00, resume
2020-10-06 14:16:26 +08:00, -80, 153, WPA2 Personal, ac
2020-10-06 14:16:29 +08:00, -73, 153, WPA2 Personal, ac
2020-10-06 14:16:34 +08:00, -76, 153, WPA2 Personal, ac
2020-10-06 14:16:39 +08:00, -73, 153, WPA2 Personal, ac
2020-10-06 14:16:44 +08:00, -75, 153, WPA2 Personal, ac
2020-10-06 14:16:51 +08:00, -72, 153, WPA2 Personal, ac
2020-10-06 14:16:54 +08:00, -75, 153, WPA2 Personal, ac
2020-10-06 14:16:59 +08:00, -72, 153, WPA2 Personal, ac
2020-10-06 14:17:04 +08:00, -80, 153, WPA2 Personal, ac
2020-10-06 14:17:09 +08:00, -73, 153, WPA2 Personal, ac
2020-10-06 14:17:16 +08:00, -76, 153, WPA2 Personal, ac
2020-10-06 14:17:19 +08:00, -71, 153, WPA2 Personal, ac
2020-10-06 14:17:24 +08:00, -76, 153, WPA2 Personal, ac
2020-10-06 14:17:29 +08:00, -72, 153, WPA2 Personal, ac
2020-10-06 14:17:34 +08:00, -72, 153, WPA2 Personal, ac
2020-10-06 14:17:34 +08:00, pause
2020-10-06 14:18:00 +08:00, resume
2020-10-06 14:18:00 +08:00, -81, 153, WPA2 Personal, ac
2020-10-06 14:18:03 +08:00, -79, 153, WPA2 Personal, ac
2020-10-06 14:18:08 +08:00, -83, 153, WPA2 Personal, ac
2020-10-06 14:18:13 +08:00, -80, 153, WPA2 Personal, ac
2020-10-06 14:18:18 +08:00, -82, 153, WPA2 Personal, ac
2020-10-06 14:18:25 +08:00, -79, 153, WPA2 Personal, ac
2020-10-06 14:18:28 +08:00, -81, 153, WPA2 Personal, ac
2020-10-06 14:18:33 +08:00, -75, 153, WPA2 Personal, ac
2020-10-06 14:18:38 +08:00, -80, 153, WPA2 Personal, ac
2020-10-06 14:18:43 +08:00, -77, 153, WPA2 Personal, ac
2020-10-06 14:18:50 +08:00, -81, 153, WPA2 Personal, ac
2020-10-06 14:18:53 +08:00, -77, 153, WPA2 Personal, ac
2020-10-06 14:18:58 +08:00, -81, 153, WPA2 Personal, ac
2020-10-06 14:19:03 +08:00, -76, 153, WPA2 Personal, ac
2020-10-06 14:19:08 +08:00, -82, 153, WPA2 Personal, ac
2020-10-06 14:19:15 +08:00, -77, 153, WPA2 Personal, ac
2020-10-06 14:19:15 +08:00, pause
2020-10-06 14:19:38 +08:00, resume
2020-10-06 14:19:38 +08:00, -85, 153, WPA2 Personal, ac
2020-10-06 14:19:43 +08:00, -81, 153, WPA2 Personal, ac
2020-10-06 14:19:48 +08:00, -87, 153, WPA2 Personal, ac
2020-10-06 14:19:53 +08:00, -86, 153, WPA2 Personal, ac
2020-10-06 14:20:00 +08:00, -87, 153, WPA2 Personal, ac
2020-10-06 14:20:03 +08:00, -85, 153, WPA2 Personal, ac
2020-10-06 14:20:08 +08:00, -86, 153, WPA2 Personal, ac
2020-10-06 14:20:13 +08:00, -84, 153, WPA2 Personal, ac
2020-10-06 14:20:18 +08:00, -86, 153, WPA2 Personal, ac
2020-10-06 14:20:25 +08:00, -85, 153, WPA2 Personal, ac
2020-10-06 14:20:28 +08:00, -86, 153, WPA2 Personal, ac
2020-10-06 14:20:33 +08:00, -82, 153, WPA2 Personal, ac
2020-10-06 14:20:38 +08:00, -85, 153, WPA2 Personal, ac
2020-10-06 14:20:43 +08:00, -86, 153, WPA2 Personal, ac
2020-10-06 14:20:50 +08:00, -85, 153, WPA2 Personal, ac
2020-10-06 14:20:50 +08:00, pause
2020-10-06 14:21:07 +08:00, resume
2020-10-06 14:21:07 +08:00, -79, 153, WPA2 Personal, ac
2020-10-06 14:21:12 +08:00, -86, 153, WPA2 Personal, ac
2020-10-06 14:21:17 +08:00, -78, 153, WPA2 Personal, ac
2020-10-06 14:21:22 +08:00, -85, 153, WPA2 Personal, ac
2020-10-06 14:21:29 +08:00, -80, 153, WPA2 Personal, ac
2020-10-06 14:21:32 +08:00, -86, 153, WPA2 Personal, ac
2020-10-06 14:21:37 +08:00, -82, 153, WPA2 Personal, ac
2020-10-06 14:21:42 +08:00, -84, 153, WPA2 Personal, ac
2020-10-06 14:21:47 +08:00, -81, 153, WPA2 Personal, ac
2020-10-06 14:21:54 +08:00, -84, 153, WPA2 Personal, ac
2020-10-06 14:21:57 +08:00, -79, 153, WPA2 Personal, ac
2020-10-06 14:22:02 +08:00, -85, 153, WPA2 Personal, ac
2020-10-06 14:22:07 +08:00, -79, 153, WPA2 Personal, ac
2020-10-06 14:22:12 +08:00, -84, 153, WPA2 Personal, ac
2020-10-06 14:22:12 +08:00, pause
2020-10-06 14:22:34 +08:00, resume
2020-10-06 14:22:34 +08:00, -83, 153, WPA2 Personal, ac
2020-10-06 14:22:37 +08:00, -76, 153, WPA2 Personal, ac
2020-10-06 14:22:42 +08:00, -80, 153, WPA2 Personal, ac
2020-10-06 14:22:47 +08:00, -76, 153, WPA2 Personal, ac
2020-10-06 14:22:52 +08:00, -84, 153, WPA2 Personal, ac
2020-10-06 14:22:59 +08:00, -77, 153, WPA2 Personal, ac
2020-10-06 14:23:02 +08:00, -82, 153, WPA2 Personal, ac
2020-10-06 14:23:07 +08:00, -77, 153, WPA2 Personal, ac
2020-10-06 14:23:12 +08:00, -85, 153, WPA2 Personal, ac
2020-10-06 14:23:17 +08:00, -77, 153, WPA2 Personal, ac
2020-10-06 14:23:24 +08:00, -84, 153, WPA2 Personal, ac
