Date, Signal(dBm), Channel, Security, PHY Mode
2020-10-08 14:37:58 +08:00, start
2020-10-08 14:37:58 +08:00, -50, 1+1, WPA2 Personal, n
2020-10-08 14:38:02 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:38:07 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:38:14 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:38:17 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:38:22 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:38:27 +08:00, -54, 1+1, WPA2 Personal, n
2020-10-08 14:38:32 +08:00, -58, 1+1, WPA2 Personal, n
2020-10-08 14:38:39 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:38:42 +08:00, -55, 1+1, WPA2 Personal, n
2020-10-08 14:38:47 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:38:52 +08:00, -57, 1+1, WPA2 Personal, n
2020-10-08 14:38:57 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:39:04 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:39:07 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:39:12 +08:00, -59, 1+1, WPA2 Personal, n
2020-10-08 14:39:17 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:39:22 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:39:29 +08:00, -55, 1+1, WPA2 Personal, n
2020-10-08 14:39:32 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:39:37 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:39:42 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:39:47 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:39:54 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:39:57 +08:00, -50, 1+1, WPA2 Personal, n
2020-10-08 14:40:02 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:40:07 +08:00, -55, 1+1, WPA2 Personal, n
2020-10-08 14:40:12 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:40:12 +08:00, pause
2020-10-08 14:41:18 +08:00, resume
2020-10-08 14:41:18 +08:00, -50, 1+1, WPA2 Personal, n
2020-10-08 14:41:19 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:41:21 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:41:28 +08:00, -49, 1+1, WPA2 Personal, n
2020-10-08 14:41:31 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:41:36 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:41:41 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:41:46 +08:00, -58, 1+1, WPA2 Personal, n
2020-10-08 14:41:53 +08:00, -54, 1+1, WPA2 Personal, n
2020-10-08 14:41:56 +08:00, -50, 1+1, WPA2 Personal, n
2020-10-08 14:42:01 +08:00, -54, 1+1, WPA2 Personal, n
2020-10-08 14:42:06 +08:00, -50, 1+1, WPA2 Personal, n
2020-10-08 14:42:11 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:42:18 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:42:21 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:42:26 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:42:31 +08:00, -61, 1+1, WPA2 Personal, n
2020-10-08 14:42:36 +08:00, -50, 1+1, WPA2 Personal, n
2020-10-08 14:42:43 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:42:46 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:42:51 +08:00, -49, 1+1, WPA2 Personal, n
2020-10-08 14:42:51 +08:00, pause
2020-10-08 14:42:55 +08:00, resume
2020-10-08 14:42:55 +08:00, -58, 1+1, WPA2 Personal, n
2020-10-08 14:42:55 +08:00, pause
2020-10-08 14:43:23 +08:00, resume
2020-10-08 14:43:23 +08:00, -57, 1+1, WPA2 Personal, n
2020-10-08 14:43:26 +08:00, -62, 1+1, WPA2 Personal, n
2020-10-08 14:43:31 +08:00, -59, 1+1, WPA2 Personal, n
2020-10-08 14:43:36 +08:00, -60, 1+1, WPA2 Personal, n
2020-10-08 14:43:41 +08:00, -54, 1+1, WPA2 Personal, n
2020-10-08 14:43:48 +08:00, -54, 1+1, WPA2 Personal, n
2020-10-08 14:43:51 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:43:56 +08:00, -54, 1+1, WPA2 Personal, n
2020-10-08 14:44:01 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:44:06 +08:00, -55, 1+1, WPA2 Personal, n
2020-10-08 14:44:13 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:44:16 +08:00, -55, 1+1, WPA2 Personal, n
2020-10-08 14:44:21 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:44:26 +08:00, -55, 1+1, WPA2 Personal, n
2020-10-08 14:44:31 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:44:38 +08:00, -55, 1+1, WPA2 Personal, n
2020-10-08 14:44:41 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:44:46 +08:00, -66, 1+1, WPA2 Personal, n
2020-10-08 14:44:51 +08:00, -61, 1+1, WPA2 Personal, n
2020-10-08 14:44:56 +08:00, -61, 1+1, WPA2 Personal, n
2020-10-08 14:44:56 +08:00, pause
2020-10-08 14:45:09 +08:00, resume
2020-10-08 14:45:09 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:45:12 +08:00, -58, 1+1, WPA2 Personal, n
2020-10-08 14:45:17 +08:00, -50, 1+1, WPA2 Personal, n
2020-10-08 14:45:22 +08:00, -64, 1+1, WPA2 Personal, n
2020-10-08 14:45:27 +08:00, -50, 1+1, WPA2 Personal, n
2020-10-08 14:45:34 +08:00, -61, 1+1, WPA2 Personal, n
2020-10-08 14:45:37 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:45:42 +08:00, -57, 1+1, WPA2 Personal, n
2020-10-08 14:45:47 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:45:52 +08:00, -57, 1+1, WPA2 Personal, n
2020-10-08 14:45:59 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:46:02 +08:00, -59, 1+1, WPA2 Personal, n
2020-10-08 14:46:07 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:46:12 +08:00, -59, 1+1, WPA2 Personal, n
2020-10-08 14:46:17 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:46:24 +08:00, -59, 1+1, WPA2 Personal, n
2020-10-08 14:46:27 +08:00, -50, 1+1, WPA2 Personal, n
2020-10-08 14:46:32 +08:00, -60, 1+1, WPA2 Personal, n
2020-10-08 14:46:37 +08:00, -50, 1+1, WPA2 Personal, n
2020-10-08 14:46:42 +08:00, -56, 1+1, WPA2 Personal, n
2020-10-08 14:46:42 +08:00, pause
2020-10-08 14:46:57 +08:00, resume
2020-10-08 14:46:57 +08:00, -58, 1+1, WPA2 Personal, n
2020-10-08 14:47:00 +08:00, -59, 1+1, WPA2 Personal, n
2020-10-08 14:47:05 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:47:10 +08:00, -60, 1+1, WPA2 Personal, n
2020-10-08 14:47:15 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:47:22 +08:00, -60, 1+1, WPA2 Personal, n
2020-10-08 14:47:25 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:47:30 +08:00, -65, 1+1, WPA2 Personal, n
2020-10-08 14:47:35 +08:00, -50, 1+1, WPA2 Personal, n
2020-10-08 14:47:40 +08:00, -60, 1+1, WPA2 Personal, n
2020-10-08 14:47:47 +08:00, -56, 1+1, WPA2 Personal, n
2020-10-08 14:47:50 +08:00, -59, 1+1, WPA2 Personal, n
2020-10-08 14:47:55 +08:00, -54, 1+1, WPA2 Personal, n
2020-10-08 14:48:00 +08:00, -61, 1+1, WPA2 Personal, n
2020-10-08 14:48:05 +08:00, -58, 1+1, WPA2 Personal, n
2020-10-08 14:48:12 +08:00, -61, 1+1, WPA2 Personal, n
2020-10-08 14:48:15 +08:00, -54, 1+1, WPA2 Personal, n
2020-10-08 14:48:20 +08:00, -60, 1+1, WPA2 Personal, n
2020-10-08 14:48:25 +08:00, -58, 1+1, WPA2 Personal, n
2020-10-08 14:48:25 +08:00, pause
2020-10-08 14:48:41 +08:00, resume
2020-10-08 14:48:41 +08:00, -49, 1+1, WPA2 Personal, n
2020-10-08 14:48:44 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:48:49 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:48:54 +08:00, -58, 1+1, WPA2 Personal, n
2020-10-08 14:48:59 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:49:06 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:49:09 +08:00, -49, 1+1, WPA2 Personal, n
2020-10-08 14:49:14 +08:00, -54, 1+1, WPA2 Personal, n
2020-10-08 14:49:19 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:49:24 +08:00, -59, 1+1, WPA2 Personal, n
2020-10-08 14:49:31 +08:00, -47, 1+1, WPA2 Personal, n
2020-10-08 14:49:34 +08:00, -58, 1+1, WPA2 Personal, n
2020-10-08 14:49:39 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:49:44 +08:00, -58, 1+1, WPA2 Personal, n
2020-10-08 14:49:49 +08:00, -44, 1+1, WPA2 Personal, n
2020-10-08 14:49:56 +08:00, -60, 1+1, WPA2 Personal, n
2020-10-08 14:49:59 +08:00, -47, 1+1, WPA2 Personal, n
2020-10-08 14:50:04 +08:00, -60, 1+1, WPA2 Personal, n
2020-10-08 14:50:09 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:50:14 +08:00, -61, 1+1, WPA2 Personal, n
2020-10-08 14:50:21 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:50:24 +08:00, -58, 1+1, WPA2 Personal, n
2020-10-08 14:50:24 +08:00, pause
2020-10-08 14:50:39 +08:00, resume
2020-10-08 14:50:39 +08:00, -56, 1+1, WPA2 Personal, n
2020-10-08 14:50:44 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:50:49 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:50:56 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:50:59 +08:00, -47, 1+1, WPA2 Personal, n
2020-10-08 14:51:04 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:51:09 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:51:14 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:51:21 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:51:24 +08:00, -61, 1+1, WPA2 Personal, n
2020-10-08 14:51:29 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:51:34 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:51:39 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:51:46 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:51:49 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:51:54 +08:00, -54, 1+1, WPA2 Personal, n
2020-10-08 14:51:59 +08:00, -55, 1+1, WPA2 Personal, n
2020-10-08 14:52:04 +08:00, -59, 1+1, WPA2 Personal, n
2020-10-08 14:52:04 +08:00, pause
2020-10-08 14:52:17 +08:00, resume
2020-10-08 14:52:17 +08:00, -58, 1+1, WPA2 Personal, n
2020-10-08 14:52:20 +08:00, -71, 1+1, WPA2 Personal, n
2020-10-08 14:52:25 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:52:30 +08:00, -68, 1+1, WPA2 Personal, n
2020-10-08 14:52:35 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:52:42 +08:00, -69, 1+1, WPA2 Personal, n
2020-10-08 14:52:45 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:52:50 +08:00, -66, 1+1, WPA2 Personal, n
2020-10-08 14:52:55 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:53:00 +08:00, -66, 1+1, WPA2 Personal, n
2020-10-08 14:53:07 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:53:10 +08:00, -67, 1+1, WPA2 Personal, n
2020-10-08 14:53:15 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:53:20 +08:00, -62, 1+1, WPA2 Personal, n
2020-10-08 14:53:25 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:53:32 +08:00, -69, 1+1, WPA2 Personal, n
2020-10-08 14:53:35 +08:00, -54, 1+1, WPA2 Personal, n
2020-10-08 14:53:40 +08:00, -72, 1+1, WPA2 Personal, n
2020-10-08 14:53:45 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:53:50 +08:00, -73, 1+1, WPA2 Personal, n
2020-10-08 14:53:57 +08:00, -53, 1+1, WPA2 Personal, n
2020-10-08 14:54:00 +08:00, -67, 1+1, WPA2 Personal, n
2020-10-08 14:54:05 +08:00, -51, 1+1, WPA2 Personal, n
2020-10-08 14:54:05 +08:00, pause
2020-10-08 14:54:15 +08:00, resume
2020-10-08 14:54:15 +08:00, -69, 1+1, WPA2 Personal, n
2020-10-08 14:54:20 +08:00, -57, 1+1, WPA2 Personal, n
2020-10-08 14:54:27 +08:00, -68, 1+1, WPA2 Personal, n
2020-10-08 14:54:30 +08:00, -59, 1+1, WPA2 Personal, n
2020-10-08 14:54:30 +08:00, pause
2020-10-08 14:54:39 +08:00, resume
2020-10-08 14:54:39 +08:00, -63, 1+1, WPA2 Personal, n
2020-10-08 14:54:44 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:54:49 +08:00, -61, 1+1, WPA2 Personal, n
2020-10-08 14:54:56 +08:00, -47, 1+1, WPA2 Personal, n
2020-10-08 14:54:59 +08:00, -62, 1+1, WPA2 Personal, n
2020-10-08 14:55:04 +08:00, -49, 1+1, WPA2 Personal, n
2020-10-08 14:55:09 +08:00, -61, 1+1, WPA2 Personal, n
2020-10-08 14:55:14 +08:00, -47, 1+1, WPA2 Personal, n
2020-10-08 14:55:21 +08:00, -60, 1+1, WPA2 Personal, n
2020-10-08 14:55:24 +08:00, -47, 1+1, WPA2 Personal, n
2020-10-08 14:55:29 +08:00, -60, 1+1, WPA2 Personal, n
2020-10-08 14:55:34 +08:00, -47, 1+1, WPA2 Personal, n
2020-10-08 14:55:39 +08:00, -61, 1+1, WPA2 Personal, n
2020-10-08 14:55:46 +08:00, -46, 1+1, WPA2 Personal, n
2020-10-08 14:55:49 +08:00, -62, 1+1, WPA2 Personal, n
2020-10-08 14:55:54 +08:00, -48, 1+1, WPA2 Personal, n
2020-10-08 14:55:59 +08:00, -60, 1+1, WPA2 Personal, n
2020-10-08 14:56:04 +08:00, -52, 1+1, WPA2 Personal, n
2020-10-08 14:56:04 +08:00, pause
