Date, Signal(dBm), Channel, Security, PHY Mode
2020-10-10 14:24:22 +08:00, start
2020-10-10 14:24:22 +08:00, -78, 149, WPA2 Personal, ac
2020-10-10 14:24:27 +08:00, -67, 149, WPA2 Personal, ac
2020-10-10 14:24:27 +08:00, pause
2020-10-10 14:24:52 +08:00, resume
2020-10-10 14:24:52 +08:00, -71, 149, WPA2 Personal, ac
2020-10-10 14:24:58 +08:00, -67, 149, WPA2 Personal, ac
2020-10-10 14:25:02 +08:00, -71, 149, WPA2 Personal, ac
2020-10-10 14:25:07 +08:00, -70, 149, WPA2 Personal, ac
2020-10-10 14:25:12 +08:00, -73, 149, WPA2 Personal, ac
2020-10-10 14:25:17 +08:00, -66, 149, WPA2 Personal, ac
2020-10-10 14:25:23 +08:00, -70, 149, WPA2 Personal, ac
2020-10-10 14:25:27 +08:00, -70, 149, WPA2 Personal, ac
2020-10-10 14:25:32 +08:00, -74, 149, WPA2 Personal, ac
2020-10-10 14:25:37 +08:00, -66, 149, WPA2 Personal, ac
2020-10-10 14:25:42 +08:00, -73, 149, WPA2 Personal, ac
2020-10-10 14:25:48 +08:00, -66, 149, WPA2 Personal, ac
2020-10-10 14:25:52 +08:00, -69, 149, WPA2 Personal, ac
2020-10-10 14:25:57 +08:00, -67, 149, WPA2 Personal, ac
2020-10-10 14:26:02 +08:00, -72, 149, WPA2 Personal, ac
2020-10-10 14:26:07 +08:00, -66, 149, WPA2 Personal, ac
2020-10-10 14:26:07 +08:00, pause
2020-10-10 14:26:25 +08:00, resume
2020-10-10 14:26:25 +08:00, -60, 149, WPA2 Personal, ac
2020-10-10 14:26:30 +08:00, -73, 149, WPA2 Personal, ac
2020-10-10 14:26:35 +08:00, -61, 149, WPA2 Personal, ac
2020-10-10 14:26:40 +08:00, -66, 149, WPA2 Personal, ac
2020-10-10 14:26:47 +08:00, -62, 149, WPA2 Personal, ac
2020-10-10 14:26:50 +08:00, -69, 149, WPA2 Personal, ac
2020-10-10 14:26:55 +08:00, -59, 149, WPA2 Personal, ac
2020-10-10 14:27:00 +08:00, -73, 149, WPA2 Personal, ac
