Date, Signal(dBm), Channel, Security, PHY Mode
2020-10-13 19:23:15 +08:00, start
2020-10-13 19:23:15 +08:00, -79, 149, WPA2 Personal, ac
2020-10-13 19:23:15 +08:00, pause
2020-10-13 19:23:25 +08:00, resume
2020-10-13 19:23:25 +08:00, -79, 149, WPA2 Personal, ac
2020-10-13 19:23:30 +08:00, -77, 149, WPA2 Personal, ac
2020-10-13 19:23:35 +08:00, -80, 149, WPA2 Personal, ac
2020-10-13 19:23:42 +08:00, -78, 149, WPA2 Personal, ac
2020-10-13 19:23:45 +08:00, -78, 149, WPA2 Personal, ac
2020-10-13 19:23:50 +08:00, -75, 149, WPA2 Personal, ac
2020-10-13 19:23:55 +08:00, -79, 149, WPA2 Personal, ac
2020-10-13 19:24:00 +08:00, -76, 149, WPA2 Personal, ac
2020-10-13 19:24:07 +08:00, -76, 149, WPA2 Personal, ac
2020-10-13 19:24:10 +08:00, -77, 149, WPA2 Personal, ac
2020-10-13 19:24:15 +08:00, -78, 149, WPA2 Personal, ac
2020-10-13 19:24:20 +08:00, -77, 149, WPA2 Personal, ac
2020-10-13 19:24:25 +08:00, -79, 149, WPA2 Personal, ac
2020-10-13 19:24:25 +08:00, pause
2020-10-13 19:24:39 +08:00, resume
2020-10-13 19:24:39 +08:00, -79, 149, WPA2 Personal, ac
2020-10-13 19:24:42 +08:00, -86, 149, WPA2 Personal, ac
2020-10-13 19:24:47 +08:00, -85, 149, WPA2 Personal, ac
2020-10-13 19:24:52 +08:00, -85, 149, WPA2 Personal, ac
2020-10-13 19:24:57 +08:00, -87, 149, WPA2 Personal, ac
2020-10-13 19:25:04 +08:00, -86, 149, WPA2 Personal, ac
2020-10-13 19:25:07 +08:00, -88, 149, WPA2 Personal, ac
2020-10-13 19:25:12 +08:00, -88, 149, WPA2 Personal, ac
2020-10-13 19:25:17 +08:00, -88, 149, WPA2 Personal, ac
2020-10-13 19:25:22 +08:00, -85, 149, WPA2 Personal, ac
2020-10-13 19:25:29 +08:00, -85, 149, WPA2 Personal, ac
2020-10-13 19:25:32 +08:00, -87, 149, WPA2 Personal, ac
2020-10-13 19:25:32 +08:00, pause
2020-10-13 19:25:46 +08:00, resume
