Date, Signal(dBm), Channel, Security, PHY Mode
2020-10-14 19:24:17 +08:00, start
2020-10-14 19:24:17 +08:00, -67, 149, WPA2 Personal, ac
2020-10-14 19:24:20 +08:00, -67, 149, WPA2 Personal, ac
2020-10-14 19:24:20 +08:00, pause
2020-10-14 19:26:01 +08:00, resume
2020-10-14 19:26:01 +08:00, -69, 149, WPA2 Personal, ac
2020-10-14 19:26:08 +08:00, -69, 149, WPA2 Personal, ac
2020-10-14 19:26:11 +08:00, -70, 149, WPA2 Personal, ac
2020-10-14 19:26:16 +08:00, -68, 149, WPA2 Personal, ac
2020-10-14 19:26:21 +08:00, -71, 149, WPA2 Personal, ac
2020-10-14 19:26:26 +08:00, -67, 149, WPA2 Personal, ac
2020-10-14 19:26:33 +08:00, -67, 149, WPA2 Personal, ac
2020-10-14 19:26:36 +08:00, -67, 149, WPA2 Personal, ac
2020-10-14 19:26:41 +08:00, -75, 149, WPA2 Personal, ac
2020-10-14 19:26:46 +08:00, -67, 149, WPA2 Personal, ac
2020-10-14 19:26:51 +08:00, -67, 149, WPA2 Personal, ac
2020-10-14 19:26:58 +08:00, -67, 149, WPA2 Personal, ac
2020-10-14 19:27:01 +08:00, -67, 149, WPA2 Personal, ac
2020-10-14 19:27:06 +08:00, -69, 149, WPA2 Personal, ac
2020-10-14 19:27:06 +08:00, pause
2020-10-14 19:27:25 +08:00, resume
2020-10-14 19:27:25 +08:00, -73, 149, WPA2 Personal, ac
2020-10-14 19:27:30 +08:00, -69, 149, WPA2 Personal, ac
2020-10-14 19:27:37 +08:00, -74, 149, WPA2 Personal, ac
2020-10-14 19:27:40 +08:00, -74, 149, WPA2 Personal, ac
2020-10-14 19:27:45 +08:00, -76, 149, WPA2 Personal, ac
2020-10-14 19:27:50 +08:00, -74, 149, WPA2 Personal, ac
2020-10-14 19:27:55 +08:00, -75, 149, WPA2 Personal, ac
2020-10-14 19:28:02 +08:00, -77, 149, WPA2 Personal, ac
2020-10-14 19:28:05 +08:00, -75, 149, WPA2 Personal, ac
2020-10-14 19:28:10 +08:00, -73, 149, WPA2 Personal, ac
2020-10-14 19:28:15 +08:00, -75, 149, WPA2 Personal, ac
2020-10-14 19:28:20 +08:00, -71, 149, WPA2 Personal, ac
2020-10-14 19:28:27 +08:00, -76, 149, WPA2 Personal, ac
2020-10-14 19:28:27 +08:00, pause
2020-10-14 19:28:42 +08:00, resume
2020-10-14 19:28:42 +08:00, -73, 149, WPA2 Personal, ac
2020-10-14 19:28:47 +08:00, -79, 149, WPA2 Personal, ac
2020-10-14 19:28:52 +08:00, -73, 149, WPA2 Personal, ac
2020-10-14 19:28:57 +08:00, -81, 149, WPA2 Personal, ac
2020-10-14 19:29:04 +08:00, -74, 149, WPA2 Personal, ac
2020-10-14 19:29:07 +08:00, -81, 149, WPA2 Personal, ac
2020-10-14 19:29:12 +08:00, -75, 149, WPA2 Personal, ac
2020-10-14 19:29:17 +08:00, -80, 149, WPA2 Personal, ac
2020-10-14 19:29:22 +08:00, -75, 149, WPA2 Personal, ac
2020-10-14 19:29:29 +08:00, -81, 149, WPA2 Personal, ac
2020-10-14 19:29:32 +08:00, -75, 149, WPA2 Personal, ac
2020-10-14 19:29:37 +08:00, -81, 149, WPA2 Personal, ac
2020-10-14 19:29:42 +08:00, -75, 149, WPA2 Personal, ac
2020-10-14 19:29:42 +08:00, pause
2020-10-14 19:29:59 +08:00, resume
2020-10-14 19:29:59 +08:00, -79, 149, WPA2 Personal, ac
2020-10-14 19:30:06 +08:00, -77, 149, WPA2 Personal, ac
2020-10-14 19:30:09 +08:00, -83, 149, WPA2 Personal, ac
2020-10-14 19:30:14 +08:00, -78, 149, WPA2 Personal, ac
2020-10-14 19:30:19 +08:00, -82, 149, WPA2 Personal, ac
2020-10-14 19:30:24 +08:00, -77, 149, WPA2 Personal, ac
2020-10-14 19:30:31 +08:00, -77, 149, WPA2 Personal, ac
2020-10-14 19:30:34 +08:00, -77, 149, WPA2 Personal, ac
2020-10-14 19:30:39 +08:00, -77, 149, WPA2 Personal, ac
2020-10-14 19:30:44 +08:00, -77, 149, WPA2 Personal, ac
2020-10-14 19:30:49 +08:00, -83, 149, WPA2 Personal, ac
2020-10-14 19:30:56 +08:00, -83, 149, WPA2 Personal, ac
2020-10-14 19:30:59 +08:00, -79, 149, WPA2 Personal, ac
2020-10-14 19:30:59 +08:00, pause
2020-10-14 19:31:15 +08:00, resume
2020-10-14 19:31:15 +08:00, -68, 149, WPA2 Personal, ac
2020-10-14 19:31:20 +08:00, -73, 149, WPA2 Personal, ac
2020-10-14 19:31:25 +08:00, -67, 149, WPA2 Personal, ac
2020-10-14 19:31:32 +08:00, -71, 149, WPA2 Personal, ac
2020-10-14 19:31:35 +08:00, -67, 149, WPA2 Personal, ac
2020-10-14 19:31:40 +08:00, -73, 149, WPA2 Personal, ac
2020-10-14 19:31:45 +08:00, -67, 149, WPA2 Personal, ac
2020-10-14 19:31:50 +08:00, -73, 149, WPA2 Personal, ac
2020-10-14 19:31:57 +08:00, -67, 149, WPA2 Personal, ac
2020-10-14 19:32:00 +08:00, -72, 149, WPA2 Personal, ac
2020-10-14 19:32:05 +08:00, -67, 149, WPA2 Personal, ac
2020-10-14 19:32:10 +08:00, -72, 149, WPA2 Personal, ac
2020-10-14 19:32:15 +08:00, -68, 149, WPA2 Personal, ac
2020-10-14 19:32:15 +08:00, pause
2020-10-14 19:32:33 +08:00, resume
