Date, Signal(dBm), Channel, Security, PHY Mode
2020-10-17 19:21:51 +08:00, start
2020-10-17 19:21:51 +08:00, -87, 161, WPA2 Personal, ac
2020-10-17 19:21:54 +08:00, -86, 161, WPA2 Personal, ac
2020-10-17 19:21:54 +08:00, pause
2020-10-17 19:22:07 +08:00, resume
2020-10-17 19:22:07 +08:00, -87, 161, WPA2 Personal, ac
2020-10-17 19:22:12 +08:00, -90, 161, WPA2 Personal, ac
2020-10-17 19:22:19 +08:00, -91, 161, WPA2 Personal, ac
2020-10-17 19:22:22 +08:00, -89, 161, WPA2 Personal, ac
2020-10-17 19:22:27 +08:00, -89, 161, WPA2 Personal, ac
2020-10-17 19:22:32 +08:00, -90, 161, WPA2 Personal, ac
2020-10-17 19:22:37 +08:00, -87, 161, WPA2 Personal, ac
2020-10-17 19:22:44 +08:00, -86, 161, WPA2 Personal, ac
2020-10-17 19:22:47 +08:00, -86, 161, WPA2 Personal, ac
2020-10-17 19:22:52 +08:00, -90, 161, WPA2 Personal, ac
2020-10-17 19:22:57 +08:00, -90, 161, WPA2 Personal, ac
2020-10-17 19:23:02 +08:00, -86, 161, WPA2 Personal, ac
2020-10-17 19:23:09 +08:00, -87, 161, WPA2 Personal, ac
2020-10-17 19:23:12 +08:00, -90, 161, WPA2 Personal, ac
2020-10-17 19:23:12 +08:00, pause
2020-10-17 19:23:36 +08:00, resume
2020-10-17 19:23:36 +08:00, -92, 161, WPA2 Personal, ac
2020-10-17 19:23:41 +08:00, -92, 161, WPA2 Personal, ac
2020-10-17 19:23:46 +08:00, -94, 161, WPA2 Personal, ac
2020-10-17 19:23:53 +08:00, -94, 161, WPA2 Personal, ac
2020-10-17 19:23:56 +08:00, -92, 161, WPA2 Personal, ac
2020-10-17 19:24:01 +08:00, -92, 161, WPA2 Personal, ac
2020-10-17 19:24:06 +08:00, -93, 161, WPA2 Personal, ac
2020-10-17 19:24:11 +08:00, -93, 161, WPA2 Personal, ac
2020-10-17 19:24:18 +08:00, -93, 161, WPA2 Personal, ac
2020-10-17 19:24:21 +08:00, -, -, -, -
2020-10-17 19:24:26 +08:00, -92, 161, WPA2 Personal, ac
2020-10-17 19:24:31 +08:00, -92, 161, WPA2 Personal, ac
2020-10-17 19:24:36 +08:00, -92, 161, WPA2 Personal, ac
2020-10-17 19:24:36 +08:00, pause
2020-10-17 19:24:55 +08:00, resume
2020-10-17 19:24:55 +08:00, -, -, -, -
2020-10-17 19:24:58 +08:00, -, -, -, -
2020-10-17 19:25:03 +08:00, -, -, -, -
2020-10-17 19:25:08 +08:00, -, -, -, -
2020-10-17 19:25:13 +08:00, -, -, -, -
2020-10-17 19:25:20 +08:00, -, -, -, -
2020-10-17 19:25:23 +08:00, -, -, -, -
2020-10-17 19:25:28 +08:00, -, -, -, -
2020-10-17 19:25:33 +08:00, -, -, -, -
2020-10-17 19:25:38 +08:00, -, -, -, -
2020-10-17 19:25:45 +08:00, -, -, -, -
2020-10-17 19:25:48 +08:00, -, -, -, -
2020-10-17 19:25:53 +08:00, -, -, -, -
2020-10-17 19:25:58 +08:00, -, -, -, -
2020-10-17 19:26:03 +08:00, -, -, -, -
2020-10-17 19:26:03 +08:00, pause
2020-10-17 19:26:20 +08:00, resume
2020-10-17 19:26:20 +08:00, -, -, -, -
2020-10-17 19:26:23 +08:00, -, -, -, -
2020-10-17 19:26:28 +08:00, -, -, -, -
2020-10-17 19:26:33 +08:00, -, -, -, -
2020-10-17 19:26:38 +08:00, -, -, -, -
2020-10-17 19:26:45 +08:00, -, -, -, -
2020-10-17 19:26:48 +08:00, -, -, -, -
2020-10-17 19:26:53 +08:00, -, -, -, -
2020-10-17 19:26:58 +08:00, -, -, -, -
2020-10-17 19:27:03 +08:00, -, -, -, -
2020-10-17 19:27:10 +08:00, -, -, -, -
2020-10-17 19:27:13 +08:00, -, -, -, -
2020-10-17 19:27:18 +08:00, -, -, -, -
2020-10-17 19:27:23 +08:00, -, -, -, -
2020-10-17 19:27:23 +08:00, pause
2020-10-17 19:27:40 +08:00, resume
2020-10-17 19:27:40 +08:00, -, -, -, -
2020-10-17 19:27:47 +08:00, -, -, -, -
2020-10-17 19:27:50 +08:00, -, -, -, -
2020-10-17 19:27:55 +08:00, -, -, -, -
2020-10-17 19:28:00 +08:00, -, -, -, -
2020-10-17 19:28:05 +08:00, -, -, -, -
2020-10-17 19:28:12 +08:00, -, -, -, -
2020-10-17 19:28:15 +08:00, -, -, -, -
2020-10-17 19:28:20 +08:00, -, -, -, -
2020-10-17 19:28:25 +08:00, -, -, -, -
2020-10-17 19:28:30 +08:00, -, -, -, -
2020-10-17 19:28:37 +08:00, -, -, -, -
2020-10-17 19:28:40 +08:00, -, -, -, -
2020-10-17 19:28:45 +08:00, -, -, -, -
2020-10-17 19:28:45 +08:00, pause
2020-10-17 19:29:06 +08:00, resume
2020-10-17 19:29:06 +08:00, -, -, -, -
2020-10-17 19:29:11 +08:00, -, -, -, -
2020-10-17 19:29:18 +08:00, -, -, -, -
2020-10-17 19:29:21 +08:00, -, -, -, -
2020-10-17 19:29:26 +08:00, -, -, -, -
2020-10-17 19:29:31 +08:00, -, -, -, -
2020-10-17 19:29:36 +08:00, -, -, -, -
2020-10-17 19:29:43 +08:00, -, -, -, -
2020-10-17 19:29:46 +08:00, -, -, -, -
2020-10-17 19:29:51 +08:00, -, -, -, -
2020-10-17 19:29:56 +08:00, -, -, -, -
2020-10-17 19:30:01 +08:00, -, -, -, -
2020-10-17 19:30:08 +08:00, -, -, -, -
2020-10-17 19:30:11 +08:00, -, -, -, -
2020-10-17 19:30:16 +08:00, -, -, -, -
2020-10-17 19:30:16 +08:00, pause
2020-10-17 19:30:40 +08:00, resume
2020-10-17 19:30:40 +08:00, -, -, -, -
2020-10-17 19:30:45 +08:00, -, -, -, -
2020-10-17 19:30:52 +08:00, -, -, -, -
2020-10-17 19:30:55 +08:00, -, -, -, -
2020-10-17 19:31:00 +08:00, -, -, -, -
2020-10-17 19:31:05 +08:00, -, -, -, -
2020-10-17 19:31:10 +08:00, -, -, -, -
2020-10-17 19:31:17 +08:00, -, -, -, -
2020-10-17 19:31:20 +08:00, -, -, -, -
2020-10-17 19:31:25 +08:00, -, -, -, -
2020-10-17 19:31:30 +08:00, -, -, -, -
2020-10-17 19:31:35 +08:00, -, -, -, -
2020-10-17 19:31:42 +08:00, -, -, -, -
2020-10-17 19:31:42 +08:00, pause
2020-10-17 19:32:06 +08:00, resume
2020-10-17 19:32:06 +08:00, -, -, -, -
2020-10-17 19:32:11 +08:00, -, -, -, -
2020-10-17 19:32:16 +08:00, -, -, -, -
2020-10-17 19:32:21 +08:00, -, -, -, -
2020-10-17 19:32:28 +08:00, -, -, -, -
2020-10-17 19:32:31 +08:00, -, -, -, -
2020-10-17 19:32:36 +08:00, -, -, -, -
2020-10-17 19:32:41 +08:00, -, -, -, -
2020-10-17 19:32:46 +08:00, -, -, -, -
2020-10-17 19:32:53 +08:00, -, -, -, -
2020-10-17 19:32:56 +08:00, -, -, -, -
2020-10-17 19:33:01 +08:00, -, -, -, -
2020-10-17 19:33:06 +08:00, -, -, -, -
2020-10-17 19:33:11 +08:00, -, -, -, -
2020-10-17 19:33:11 +08:00, pause
2020-10-17 19:33:29 +08:00, resume
2020-10-17 19:33:29 +08:00, -, -, -, -
2020-10-17 19:33:32 +08:00, -, -, -, -
2020-10-17 19:33:37 +08:00, -, -, -, -
2020-10-17 19:33:42 +08:00, -, -, -, -
2020-10-17 19:33:47 +08:00, -, -, -, -
2020-10-17 19:33:54 +08:00, -, -, -, -
2020-10-17 19:33:57 +08:00, -, -, -, -
2020-10-17 19:34:02 +08:00, -, -, -, -
2020-10-17 19:34:07 +08:00, -, -, -, -
2020-10-17 19:34:12 +08:00, -, -, -, -
2020-10-17 19:34:19 +08:00, -, -, -, -
2020-10-17 19:34:22 +08:00, -, -, -, -
2020-10-17 19:34:27 +08:00, -, -, -, -
2020-10-17 19:34:27 +08:00, pause
2020-10-17 19:34:45 +08:00, resume
2020-10-17 19:34:45 +08:00, -, -, -, -
2020-10-17 19:34:50 +08:00, -, -, -, -
2020-10-17 19:34:57 +08:00, -, -, -, -
2020-10-17 19:35:00 +08:00, -, -, -, -
2020-10-17 19:35:05 +08:00, -, -, -, -
2020-10-17 19:35:10 +08:00, -95, 161, WPA2 Personal, ac
2020-10-17 19:35:15 +08:00, -95, 161, WPA2 Personal, ac
2020-10-17 19:35:22 +08:00, -95, 161, WPA2 Personal, ac
2020-10-17 19:35:25 +08:00, -, -, -, -
2020-10-17 19:35:30 +08:00, -94, 161, WPA2 Personal, ac
2020-10-17 19:35:30 +08:00, pause
2020-10-17 19:36:47 +08:00, resume
2020-10-17 19:36:47 +08:00, -89, 161, WPA2 Personal, ac
2020-10-17 19:36:54 +08:00, -92, 161, WPA2 Personal, ac
2020-10-17 19:36:57 +08:00, -91, 161, WPA2 Personal, ac
2020-10-17 19:37:02 +08:00, -92, 161, WPA2 Personal, ac
2020-10-17 19:37:07 +08:00, -91, 161, WPA2 Personal, ac
2020-10-17 19:37:12 +08:00, -93, 161, WPA2 Personal, ac
2020-10-17 19:37:19 +08:00, -90, 161, WPA2 Personal, ac
2020-10-17 19:37:22 +08:00, -94, 161, WPA2 Personal, ac
2020-10-17 19:37:27 +08:00, -88, 161, WPA2 Personal, ac
2020-10-17 19:37:32 +08:00, -91, 161, WPA2 Personal, ac
2020-10-17 19:37:37 +08:00, -88, 161, WPA2 Personal, ac
2020-10-17 19:37:44 +08:00, -93, 161, WPA2 Personal, ac
2020-10-17 19:37:47 +08:00, -89, 161, WPA2 Personal, ac
2020-10-17 19:37:47 +08:00, pause
2020-10-17 19:38:09 +08:00, resume
2020-10-17 19:38:09 +08:00, -93, 161, WPA2 Personal, ac
2020-10-17 19:38:14 +08:00, -91, 161, WPA2 Personal, ac
2020-10-17 19:38:19 +08:00, -93, 161, WPA2 Personal, ac
2020-10-17 19:38:26 +08:00, -93, 161, WPA2 Personal, ac
2020-10-17 19:38:29 +08:00, -91, 161, WPA2 Personal, ac
2020-10-17 19:38:34 +08:00, -93, 161, WPA2 Personal, ac
2020-10-17 19:38:39 +08:00, -93, 161, WPA2 Personal, ac
2020-10-17 19:38:44 +08:00, -93, 161, WPA2 Personal, ac
2020-10-17 19:38:51 +08:00, -95, 161, WPA2 Personal, ac
2020-10-17 19:38:54 +08:00, -95, 161, WPA2 Personal, ac
2020-10-17 19:38:59 +08:00, -92, 161, WPA2 Personal, ac
2020-10-17 19:39:04 +08:00, -90, 161, WPA2 Personal, ac
2020-10-17 19:39:09 +08:00, -90, 161, WPA2 Personal, ac
2020-10-17 19:39:09 +08:00, pause
2020-10-17 19:39:30 +08:00, resume
2020-10-17 19:39:30 +08:00, -91, 161, WPA2 Personal, ac
2020-10-17 19:39:33 +08:00, -94, 161, WPA2 Personal, ac
2020-10-17 19:39:38 +08:00, -93, 161, WPA2 Personal, ac
2020-10-17 19:39:43 +08:00, -88, 161, WPA2 Personal, ac
2020-10-17 19:39:48 +08:00, -92, 161, WPA2 Personal, ac
2020-10-17 19:39:55 +08:00, -87, 161, WPA2 Personal, ac
2020-10-17 19:39:58 +08:00, -89, 161, WPA2 Personal, ac
2020-10-17 19:40:03 +08:00, -89, 161, WPA2 Personal, ac
2020-10-17 19:40:08 +08:00, -91, 161, WPA2 Personal, ac
2020-10-17 19:40:13 +08:00, -88, 161, WPA2 Personal, ac
2020-10-17 19:40:20 +08:00, -88, 161, WPA2 Personal, ac
2020-10-17 19:40:23 +08:00, -84, 161, WPA2 Personal, ac
2020-10-17 19:40:28 +08:00, -81, 161, WPA2 Personal, ac
2020-10-17 19:40:28 +08:00, pause
2020-10-17 19:40:49 +08:00, resume
2020-10-17 19:40:49 +08:00, -79, 161, WPA2 Personal, ac
2020-10-17 19:40:54 +08:00, -69, 161, WPA2 Personal, ac
2020-10-17 19:41:01 +08:00, -76, 161, WPA2 Personal, ac
2020-10-17 19:41:04 +08:00, -70, 161, WPA2 Personal, ac
2020-10-17 19:41:09 +08:00, -75, 161, WPA2 Personal, ac
2020-10-17 19:41:14 +08:00, -66, 161, WPA2 Personal, ac
2020-10-17 19:41:19 +08:00, -70, 161, WPA2 Personal, ac
2020-10-17 19:41:26 +08:00, -69, 161, WPA2 Personal, ac
2020-10-17 19:41:29 +08:00, -71, 161, WPA2 Personal, ac
2020-10-17 19:41:34 +08:00, -71, 161, WPA2 Personal, ac
2020-10-17 19:41:39 +08:00, -74, 161, WPA2 Personal, ac
2020-10-17 19:41:44 +08:00, -72, 161, WPA2 Personal, ac
2020-10-17 19:41:51 +08:00, -74, 161, WPA2 Personal, ac
2020-10-17 19:41:54 +08:00, -71, 161, WPA2 Personal, ac
2020-10-17 19:41:54 +08:00, pause
2020-10-17 19:42:15 +08:00, resume
2020-10-17 19:42:15 +08:00, -74, 161, WPA2 Personal, ac
2020-10-17 19:42:20 +08:00, -65, 161, WPA2 Personal, ac
2020-10-17 19:42:25 +08:00, -78, 161, WPA2 Personal, ac
2020-10-17 19:42:32 +08:00, -66, 161, WPA2 Personal, ac
2020-10-17 19:42:35 +08:00, -76, 161, WPA2 Personal, ac
2020-10-17 19:42:40 +08:00, -69, 161, WPA2 Personal, ac
2020-10-17 19:42:45 +08:00, -75, 161, WPA2 Personal, ac
2020-10-17 19:42:50 +08:00, -69, 161, WPA2 Personal, ac
2020-10-17 19:42:57 +08:00, -75, 161, WPA2 Personal, ac
2020-10-17 19:43:00 +08:00, -68, 161, WPA2 Personal, ac
2020-10-17 19:43:05 +08:00, -75, 161, WPA2 Personal, ac
2020-10-17 19:43:10 +08:00, -69, 161, WPA2 Personal, ac
2020-10-17 19:43:15 +08:00, -79, 161, WPA2 Personal, ac
2020-10-17 19:43:15 +08:00, pause
2020-10-17 19:43:36 +08:00, resume
2020-10-17 19:43:36 +08:00, -62, 161, WPA2 Personal, ac
2020-10-17 19:43:39 +08:00, -74, 161, WPA2 Personal, ac
2020-10-17 19:43:44 +08:00, -62, 161, WPA2 Personal, ac
2020-10-17 19:43:49 +08:00, -76, 161, WPA2 Personal, ac
2020-10-17 19:43:54 +08:00, -61, 161, WPA2 Personal, ac
2020-10-17 19:44:01 +08:00, -74, 161, WPA2 Personal, ac
2020-10-17 19:44:04 +08:00, -59, 161, WPA2 Personal, ac
2020-10-17 19:44:09 +08:00, -72, 161, WPA2 Personal, ac
2020-10-17 19:44:14 +08:00, -62, 161, WPA2 Personal, ac
2020-10-17 19:44:19 +08:00, -72, 161, WPA2 Personal, ac
2020-10-17 19:44:26 +08:00, -60, 161, WPA2 Personal, ac
2020-10-17 19:44:29 +08:00, -73, 161, WPA2 Personal, ac
2020-10-17 19:44:34 +08:00, -60, 161, WPA2 Personal, ac
2020-10-17 19:44:34 +08:00, pause
2020-10-17 19:44:54 +08:00, resume
2020-10-17 19:44:54 +08:00, -73, 161, WPA2 Personal, ac
2020-10-17 19:44:59 +08:00, -70, 161, WPA2 Personal, ac
2020-10-17 19:45:06 +08:00, -70, 161, WPA2 Personal, ac
2020-10-17 19:45:09 +08:00, -74, 161, WPA2 Personal, ac
2020-10-17 19:45:14 +08:00, -70, 161, WPA2 Personal, ac
2020-10-17 19:45:19 +08:00, -76, 161, WPA2 Personal, ac
2020-10-17 19:45:24 +08:00, -72, 161, WPA2 Personal, ac
2020-10-17 19:45:31 +08:00, -71, 161, WPA2 Personal, ac
2020-10-17 19:45:34 +08:00, -68, 161, WPA2 Personal, ac
2020-10-17 19:45:39 +08:00, -75, 161, WPA2 Personal, ac
2020-10-17 19:45:44 +08:00, -68, 161, WPA2 Personal, ac
2020-10-17 19:45:49 +08:00, -71, 161, WPA2 Personal, ac
2020-10-17 19:45:56 +08:00, -69, 161, WPA2 Personal, ac
2020-10-17 19:45:59 +08:00, -73, 161, WPA2 Personal, ac
2020-10-17 19:45:59 +08:00, pause
2020-10-17 19:46:14 +08:00, resume
2020-10-17 19:46:14 +08:00, -79, 161, WPA2 Personal, ac
2020-10-17 19:46:19 +08:00, -65, 161, WPA2 Personal, ac
2020-10-17 19:46:24 +08:00, -77, 161, WPA2 Personal, ac
2020-10-17 19:46:31 +08:00, -64, 161, WPA2 Personal, ac
2020-10-17 19:46:34 +08:00, -71, 161, WPA2 Personal, ac
2020-10-17 19:46:39 +08:00, -64, 161, WPA2 Personal, ac
2020-10-17 19:46:44 +08:00, -75, 161, WPA2 Personal, ac
2020-10-17 19:46:49 +08:00, -68, 161, WPA2 Personal, ac
2020-10-17 19:46:56 +08:00, -72, 161, WPA2 Personal, ac
2020-10-17 19:46:59 +08:00, -67, 161, WPA2 Personal, ac
2020-10-17 19:47:04 +08:00, -74, 161, WPA2 Personal, ac
2020-10-17 19:47:09 +08:00, -65, 161, WPA2 Personal, ac
2020-10-17 19:47:14 +08:00, -78, 161, WPA2 Personal, ac
2020-10-17 19:47:21 +08:00, -65, 161, WPA2 Personal, ac
2020-10-17 19:47:21 +08:00, pause
2020-10-17 19:47:37 +08:00, resume
2020-10-17 19:47:37 +08:00, -71, 161, WPA2 Personal, ac
2020-10-17 19:47:42 +08:00, -70, 161, WPA2 Personal, ac
2020-10-17 19:47:47 +08:00, -71, 161, WPA2 Personal, ac
2020-10-17 19:47:52 +08:00, -69, 161, WPA2 Personal, ac
2020-10-17 19:47:59 +08:00, -73, 161, WPA2 Personal, ac
2020-10-17 19:48:02 +08:00, -73, 161, WPA2 Personal, ac
2020-10-17 19:48:07 +08:00, -73, 161, WPA2 Personal, ac
2020-10-17 19:48:12 +08:00, -72, 161, WPA2 Personal, ac
2020-10-17 19:48:17 +08:00, -72, 161, WPA2 Personal, ac
2020-10-17 19:48:24 +08:00, -72, 161, WPA2 Personal, ac
2020-10-17 19:48:27 +08:00, -72, 161, WPA2 Personal, ac
2020-10-17 19:48:32 +08:00, -74, 161, WPA2 Personal, ac
2020-10-17 19:48:37 +08:00, -72, 161, WPA2 Personal, ac
2020-10-17 19:48:37 +08:00, pause
2020-10-17 19:48:52 +08:00, resume
2020-10-17 19:48:52 +08:00, -75, 161, WPA2 Personal, ac
2020-10-17 19:48:59 +08:00, -73, 161, WPA2 Personal, ac
